"번호","사업장명","소재지전체주소","도로명전체주소","개업일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","약국영업면적","인허가구분명","지정일자","전화번호","위치정보(X)","위치정보(Y)","상세영업상태명"
"1","새현대약국","서울특별시 종로구 적선동 80 현대아케이트38호","서울특별시 종로구 사직로 130 38호 (적선동)","19890828","운영중","","","","","","","23","약국","19890828","720-5662","197643.34172100000  ","452924.14296800000  ","영업중"
"2","인성약국","서울특별시 종로구 무악동 42번지 2호","서울특별시 종로구 통일로 250 (무악동)","20080730","운영중","","","","","","110080","28.2","약국","20080730","02-363-8311","196285.85687400000  ","452799.01389100000  ","영업중"
"3","한마음약국","서울특별시 종로구 원남동 118-1 1층","서울특별시 종로구 창경궁로 158 (원남동)","20000814","운영중","","","","","","","154","약국","20000814","02-3676-4411","199788.84310000000  ","452990.10559100000  ","영업중"
"4","국일약국","서울특별시 종로구 관철동 5-1","서울특별시 종로구 종로16길 12 (관철동)","19840113","운영중","","","","","","","24","약국","19840113","02-2275-7225","198984.94359000000  ","452224.07340200000  ","영업중"
"5","종로세란약국","서울특별시 종로구 종로6가 127-1","서울특별시 종로구 종로41길 4 (종로6가)","20050526","운영중","","","","","","","23","약국","20050526","02-763-3237","200607.38658300000  ","452439.60985800000  ","영업중"
"6","성심약국","서울특별시 종로구 창신동 25번지 4호","서울특별시 종로구 지봉로 61 1층 (창신동)","20080303","운영중","","","","","","110540","36.5","약국","20080303","02-743-2062","201367.08223700000  ","452886.80242300000  ","영업중"
"7","민약국","서울특별시 종로구 내자동 180번지","서울특별시 종로구 사직로12길 26 (내자동)","19680110","운영중","","","","","","110053","14.76","약국","19680110","02-738-8816","197426.06689000000  ","452821.03181100000  ","영업중"
"8","동호약국","서울특별시 종로구 명륜동 3가 2-3","서울특별시 종로구 성균관로 53 (명륜3가)","19850106","운영중","","","","","","","39","약국","19850106","02-742-4816","199685.67405400000  ","454207.66136800000  ","영업중"
"9","새성은약국","서울특별시 종로구 묘동 190번지 1호   103호","서울특별시 종로구 돈화문로 35-1 103호 (묘동)","19841024","운영중","","","","","","110370","24","약국","19841024","02-764-5968","199259.47335700000  ","452460.22476500000  ","영업중"
"10","세검약국","서울특별시 종로구 홍지동 99-3","서울특별시 종로구 자하문로 306 (홍지동)","19751001","운영중","","","","","","","25","약국","19751001","02-395-9944","196386.46024700000  ","455575.16093600000  ","영업중"
"11","함춘약국","서울특별시 종로구 연건동 32-2","서울특별시 종로구 대학로 93 (연건동)","20071019","운영중","","","","","","","95","약국","20071019","02-741-0370","200161.23922300000  ","453338.63241300000  ","영업중"
"12","옥인온누리약국","서울특별시 종로구 적선동 100-1  경복빌딩 103호","서울특별시 종로구 자하문로2길 4 103호 (적선동 경복빌딩)","19960918","운영중","","","","","","","80","약국","19960918","02-725-1490","197602.52361100000  ","452981.48218700000  ","영업중"
