시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
화성시향토박물관,공립,경기도 화성시 향남읍 행정동로 96,,37.13261458,126.9280101,031-369-3797,화성시 향토박물관,,,10:00,18:00,10:00,18:00,매주 월요일(단/ 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관),0,0,0,,,,031-369-3797,화성시향토박물관,2020-03-20,1371000,문화체육관광부
한국만화박물관,공립,경기도 부천시 길주로 1,,37.50856874,126.7437144,032-310-3090,(재)한국만화영상진흥원,,,10:00,18:00,10:00,18:00,매주월요일/1월1일/ 설/추석 당일 및 그 전날,5000,5000,5000,,,,032-625-3131,한국만화박물관,2020-03-20,1371000,문화체육관광부
하남역사박물관,공립,경기도 하남시 덕풍동로 30,,37.54546024,127.2060837,031-790-7990,하남문화재단,,,09:00,18:00,09:00,18:00,1월 1일/ 매주 월요일(단/ 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관),0,0,0,,,,031-790-5857,하남역사박물관,2020-03-20,1371000,문화체육관광부
포천 역사문화관,공립,경기도 포천시 중앙로 34번길 8,,37.89046277,127.1982743,031-538-2106,시립 포천 역사문화관,,,09:00,18:00,00:00,00:00,주말 및 공휴일,0,0,0,,,,031-538-2106,포천 역사문화관,2020-03-20,1371000,문화체육관광부
판교박물관,공립,경기도 성남시 분당구 판교로 191 판교역사공원,,37.400791,127.095660,031-729-4535,성남시,,,09:00,18:00,09:00,18:00,매주 월요일(단/ 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)/ 1월 1일/ 설추석연휴/ 국경일/ 경축일,0,0,0,,,,031-729-4535,판교박물관,2020-03-20,1371000,문화체육관광부
최용신기념관,공립,경기도 안산시 상록구 샘골서길 64,,37.29964386,126.8627404,031-481-3040,최용신기념관,,,09:00,18:00,09:00,18:00,매주 월요일/ 1월1일/ 설연휴/ 추석연휴,0,0,0,,,,031-481-3040,최용신기념관,2020-03-20,1371000,문화체육관광부
제암리 3.1운동 순국기념관,공립,경기도 화성시 향남읍 제암길 50,,37.12630827,126.8915964,031-369-1663,화성문화원,,,09:00,18:00,09:00,18:00,매주 월요일(단/ 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관),0,0,0,,,,031-369-6523,제암리 3.1운동 순국기념관,2020-03-20,1371000,문화체육관광부
전곡선사박물관,공립,경기도 연천군 전곡읍 평화로 443번길 2,,38.01159028,127.0637632,031-830-5600,(재)경기문화재단,,,10:00,18:00,10:00,18:00,매주 월요일(단/ 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)/ 신정/ 구정/ 추석 당일,0,0,0,,,,031-8008-4605,전곡선사박물관,2020-03-20,1371000,문화체육관광부
자유수호평화박물관,공립,경기도 동두천시 평화로 2910번길 96-63,,37.94250188,127.0660561,031-860-3330,동두천시,,,09:00,18:00,09:00,18:00,매주 월요일(단/ 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관),0,0,0,,,,031-860-3330,자유수호평화박물관,2020-03-20,1371000,문화체육관광부
이천시립박물관,공립,경기도 이천시 경충대로,,37.275070,127.427270,031-635-8500,(재)신재문화재단,,,09:00,18:00,09:00,18:00,홈페이지,0,0,0,,,,031-645-3654,이천시립박물관,2020-03-20,1371000,문화체육관광부
