도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
용운도서관,대전광역시,동구,공공도서관,"월요일, 관공서의 공휴일",09:00,22:00,09:00,22:00,00:00,00:00,350,110675,26,5323,5,14,대전광역시 동구 새울로 68번길 23-23 (용운동),대전광역시 동구청,042-259-7021,2134,1937,http://lib.donggu.go.kr/html/library/yongunlib/,36.3257031179,127.4638509481,2019-09-17,3640000,대전광역시 동구
가오도서관,대전광역시,동구,공공도서관,"월요일, 관공서의 공휴일",09:00,22:00,09:00,22:00,00:00,00:00,300,103790,37,3484,5,14,대전광역시 동구 동구청로 147 (가오동 동구청),대전광역시 동구청,042-259-7051,22767,2630,http://lib.donggu.go.kr/html/library/gaolib/,36.3120359626,127.4549155319,2019-09-17,3640000,대전광역시 동구
김해율하도서관,경상남도,김해시,공공도서관,"매월마지막월요일,국가지정공휴일",09:00,22:00,09:00,18:00,00:00,00:00,237,36994,69,0,7,14,경상남도 김해시 율하2로 210(율하동),,,,,http://lib.gimhae.go.kr,35.172324,128.820263,2019-09-02,5350000,경상남도 김해시
칠암도서관,경상남도,김해시,공공도서관,"매월마지막월요일,국가지정공휴일",09:00,22:00,09:00,18:00,00:00,00:00,1070,186989,93,0,7,14,경상남도 김해시 활천로285번길 14 (삼방동),,,,,http://lib.gimhae.go.kr,35.244488,128.910433,2019-09-02,5350000,경상남도 김해시
화정글샘도서관,경상남도,김해시,공공도서관,"매월마지막월요일,국가지정공휴일",09:00,22:00,09:00,18:00,00:00,00:00,545,134576,119,0,7,14,경상남도 김해시 삼계중앙로13번길 19(삼계동),,,,,http://lib.gimhae.go.kr,35.26212703,128.866734,2019-09-02,5350000,경상남도 김해시
장유도서관,경상남도,김해시,공공도서관,"매월마지막월요일,국가지정공휴일",09:00,22:00,09:00,18:00,00:00,00:00,376,194157,137,0,7,14,경상남도 김해시 대청로 176번길 7(대청동),,,,,http://lib.gimhae.go.kr,35.19135341,128.796542,2019-09-02,5350000,경상남도 김해시
김해기적의도서관,경상남도,김해시,공공도서관,"매월마지막월요일,국가지정공휴일",09:00,18:00,09:00,18:00,00:00,00:00,300,56499,50,0,7,14,경상남도 김해시 율하1로 55(율하동),,,,,http://lib.gimhae.go.kr,35.175608,128.810497,2019-09-02,5350000,경상남도 김해시
진영한빛도서관,경상남도,김해시,공공도서관,"매월마지막월요일,국가지정공휴일",09:00,22:00,09:00,18:00,00:00,00:00,262,130672,112,0,7,14,경상남도 김해시 진영읍 김해대로 440,,,,,http://lib.gimhae.go.kr,35.30467986,128.7369115,2019-09-02,5350000,경상남도 김해시
팔판빛오름작은도서관,경상남도,김해시,작은도서관,"매주월,일요일,국가지정공휴일",09:00,18:00,09:00,18:00,00:00,00:00,60,4711,0,0,7,14,경상남도 김해시 관동동 452-1 팔판마을1단지부영이그린타운아파트 복리동 지하1층,,,,113.1,http://lib.gimhae.go.kr,35.181923,128.197864,2019-09-02,5350000,경상남도 김해시
유토피아작은도서관,경상남도,김해시,작은도서관,"매주월,일요일,국가지정공휴일",10:00,18:00,10:00,18:00,00:00,00:00,35,6732,0,0,7,14,경상남도 김해시 인제로 167,,,,193.3,http://lib.gimhae.go.kr,35.244577,128.900448,2019-09-02,5350000,경상남도 김해시
김해시 행정자료실,경상남도,김해시,작은도서관,"매주토,일요일,국가지정공휴일",09:00,18:00,09:00,18:00,00:00,00:00,10,12484,0,0,7,14,경상남도 김해시 김해대로 2401 본관2층,,,,49,http://lib.gimhae.go.kr,35.229080,128.889951,2019-09-02,5350000,경상남도 김해시
청소년문화의집,경상남도,김해시,작은도서관,"매주월요일,국가지정공휴일",09:00,18:00,09:00,18:00,00:00,00:00,10,5426,0,0,7,14,경상남도 김해시 가락로176번길 3,,,,,http://lib.gimhae.go.kr,35.24213861,128.8783896,2019-09-02,5350000,경상남도 김해시
둔덕청마꽃들작은도서관,경상남도,거제시,작은도서관,"매주토,일요일,공휴일",09:00,18:00,00:00,00:00,00:00,00:00,16,9644,0,0,3,14,경상남도 거제시 둔덕면 거제남서로 4624,경상남도 거제시 둔덕면 거제남서로 4624,055-638-0011,121,121,,34.83654182,128.504779,2020-01-30,5370000,경상남도 거제시
e편한세상옥포아파트작은도서관,경상남도,거제시,작은도서관,"매주 일요일,공휴일",16:00,22:00,16:00,22:00,00:00,00:00,12,1622,0,0,2,7,경상남도 거제시 성산로 33,경상남도 거제시 e편한세상 옥포아파트입주자 대표회,055-687-3226,40884,164,,34.89811443,128.6953232,2020-01-30,5370000,경상남도 거제시
참좋은작은도서관,경상남도,거제시,작은도서관,"매주토,일요일,공휴일",13:00,18:00,00:00,00:00,00:00,00:00,24,3984,0,0,0,0,경상남도 거제시 상동 1길 52-1,박용철,070-8802-3491,561,66,,34.8638899,128.6359887,2020-01-30,5370000,경상남도 거제시
벽산-e솔렌스힐2차작은도서관,경상남도,거제시,작은도서관,공휴일,10:00,17:00,10:00,13:00,00:00,00:00,24,5500,0,0,2,7,경상남도 거제시 상동5길 117-16,경상남도 거제시 벽산e-솔렌스힐 2차아파트입주자대표회,055-632-7066,26337,92,,34.86059289,128.6307668,2020-01-30,5370000,경상남도 거제시
벽산3차새마을작은도서관,경상남도,거제시,작은도서관,"매주토,일요일,공휴일",14:00,23:00,00:00,00:00,00:00,00:00,45,4212,0,0,3,7,경상남도 거제시 상동5길 117-50,경상남도 거제시 벽산e-솔렌스힐 3차아파트입주자대표회,055-637-2500,27464,144,,34.85852366,128.6345179,2020-01-30,5370000,경상남도 거제시
덕산아내프리미엄2차아파트작은도서관,경상남도,거제시,작은도서관,"매주토,일요일,공휴일",09:00,18:00,00:00,00:00,00:00,00:00,16,3178,0,0,10,14,"경상남도 거제시 아주로 100-11(아주동, 덕산아내프리미엄2차)",경상남도 거제시 덕산아내프리미엄2차아파트입주자대표회,055-681-2679,22363,51,,34.8668998,128.6832833,2020-01-30,5370000,경상남도 거제시
파라미타작은도서관,경상남도,거제시,작은도서관,"매주토,일요일, 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,20,1200,0,0,0,0,경상남도 거제시 계룡로 2길 69-1,사단법인 좋은벗,055-681-2679,255,34,,34.879448,128.6264279,2020-01-30,5370000,경상남도 거제시
덕산아내프리미엄아파트 작은도서관,경상남도,거제시,작은도서관,"매주월요일, 공휴일",16:00,22:00,16:00,22:00,16:00,22:00,40,10345,0,0,3,7,"경상남도 거제시 아주로 100-10(아주동, 덕산아내프리미엄1차)",경상남도 거제시 덕산아내프리미엄1차아파트입주자대표회,055-681-9766,31675,142,,34.86643348,128.6849359,2020-01-30,5370000,경상남도 거제시
힐나눔작은도서관,경상남도,거제시,작은도서관,"매주토,일요일, 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,30,1500,0,0,0,0,경상남도 거제시 제산로 51,경상남도 거제시 힐스테이트입주자대표회,055-632-0366,36044,70,,34.890039,128.6411267,2020-01-30,5370000,경상남도 거제시
참새미작은도서관,경상남도,거제시,작은도서관,"매주토,일요일, 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,16,5317,0,0,3,14,경상남도 거제시 동상3길 26,경상남도 거제시 거제면주민자치센터,055-632-6452,1841,110,http://gw.re.kr/development/development07.jsp,34.85109247,128.596057,2020-01-30,5370000,경상남도 거제시
바람의언덕작은도서관,경상남도,거제시,작은도서관,없음,09:00,17:00,09:00,17:00,09:00,17:00,10,5000,0,0,3,15,경상남도 거제시 남부면 도장포1길50-4,경상남도 거제시 해금강교회,055-633-1527,244,116,,34.741477,128.662206,2020-01-30,5370000,경상남도 거제시
성은작은도서관,경상남도,거제시,작은도서관,"매주토,일요일, 공휴일",12:00,17:00,00:00,00:00,00:00,00:00,12,1000,0,0,0,0,경상남도 거제시 옥포로 315-2(성은아파트),경상남도 거제시 성은아파트입주자대표회,055-687-7794,12711,93,,34.901991,128.684162,2020-01-30,5370000,경상남도 거제시
글밭작은도서관,경상남도,거제시,작은도서관,"매주토,일요일, 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,12,7189,0,0,3,14,경상남도 거제시 계룡로13길 6(거제시여성회관),경상남도 거제시 거제시여성단체협의회,055-636-3019,2550,75,,34.88438634,128.6189169,2020-01-30,5370000,경상남도 거제시
남부면작은도서관,경상남도,거제시,작은도서관,"매주토,일요일, 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,16,9644,0,0,3,14,경상남도 거제시 남부면 남부해안로30,경상남도 거제시 남부면주민자치센터,055-639-4144,6203,79,,34.73225056,128.610145,2020-01-30,5370000,경상남도 거제시
모오리돌작은도서관,경상남도,거제시,작은도서관,"매주일요일, 공휴일",09:00,18:00,09:00,17:00,00:00,00:00,60,15045,9,0,3,14,경상남도 거제시 아주동 탑곡로 75,경상남도 거제시 YWCA,055-682-4950,7962,153,http://www.gjywca.or.kr,34.862441,128.691076,2020-01-30,5370000,경상남도 거제시
푸른숲작은도서관,경상남도,거제시,작은도서관,"국가공휴일, 하계휴가",14:00,22:00,10:00,18:00,00:00,00:00,80,15819,2,0,7,7,경상남도 거제시 상동동 상동7길 30,경상남도 거제시 대동다숲아파트입주자대표회,055-633-8849,117152,250,,34.869102,128.627921,2020-01-30,5370000,경상남도 거제시
새마을문고작은도서관,경상남도,거제시,작은도서관,"매주토,일요일, 공휴일",10:00,17:00,00:00,00:00,00:00,00:00,10,5100,0,0,5,7,경상남도 거제시 고현동 거제중앙로 1849,경상남도 거제시 새마을운동거제시지회,055-637-0185,1152,41,http://www.saemaul.com,34.883467,128.625253,2020-01-30,5370000,경상남도 거제시
