인허가등록번호,등록일자,공연장명칭,공연장소재지(지번),전화번호,객석수,상태구분,영업상태,폐업일자,휴업시작일자,휴업종료일자
23000-0997-000001,9970808,서울극장(8관),서울특별시 종로구 관수동  59번지 7호  ,2277-3014,,1,영업중,,,
23000-1989-000001,19890310,동숭아트센타,서울특별시 종로구 동숭동  1번지 5호  ,766-3390,453,3,폐업,20180430,,
23000-1993-000001,19930513,두산아트센터 연강홀,서울특별시 종로구 연지동  270번지  ,708-5003,620,1,영업중,,,
23000-2002-000005,20021128,아르코예술극장대극장,서울특별시 종로구 동숭동  1번지 111호  한국문예회관,02-3668-0007,600,1,영업중,,,
23000-2002-000006,20021129,아르코예술극장소극장,서울특별시 종로구 동숭동  1번지 111호  한국문예회관,02-3668-0007,110,1,영업중,,,
23000-2002-000007,20021211,소극장,서울특별시 종로구 동숭동  1번지 5호  ,766-3390,150,3,폐업,20180430,,
23000-2002-000008,20021211,동숭홀,서울특별시 종로구 동숭동  1번지 5호  ,766-3390,,3,폐업,20180430,,
23000-2002-000009,20021217,극단 연단,서울특별시 종로구 연건동  132번지 1호  ,747-6742,,1,영업중,,,
23000-2002-000010,20021223,종로구민회관 대강당,서울특별시 종로구 창신동  222번지 8호  ,3672-2530,456,1,영업중,,,
23000-2002-000011,20021227,정보소극장,서울특별시 종로구 동숭동  1번지 81호  ,3673-0555,98,3,폐업,20190729,,
23000-2002-000012,20021231,대학로극장,서울특별시 종로구 연건동  178번지 1호  ,745-2678,150,3,폐업,20161221,,
23000-2002-000013,20021231,청운예술극장,서울특별시 종로구 연건동  178번지 1호  ,,140,3,폐업,20190411,,
23000-2002-000014,20021231,단막극장,서울특별시 종로구 동숭동  12번지 8호  ,765-1544,100,1,영업중,,,
23000-2002-000015,20021231,극단연우무대,서울특별시 종로구 혜화동  53번지 9호  다림빌딩 지하,744-7090,100,1,영업중,,,
23000-2002-000016,20021231,금호아트홀,서울특별시 종로구 신문로1가  57번지 0호  ,6303-1919,390,1,영업중,,,
23000-2002-000017,20021231,부암아트홀,서울특별시 종로구 부암동  208번지 71호  ,391-9631,200,1,영업중,,,
23000-2002-000018,20021231,인켈아트홀 1관,서울특별시 종로구 명륜2가  41번지 4호  ,741-0251,240,1,영업중,,,
23000-2002-000019,20021231,인켈아트홀 2관,서울특별시 종로구 명륜2가  41번지 4호  ,741-0251,150,1,영업중,,,
23000-2002-000020,20021231,극단 아룽구지,서울특별시 종로구 동숭동  1번지 54호  ,745-3966,142,1,영업중,,,
