"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 강남구청",,서울특별시 강남구 세곡동 103,생활방범,3,300,360전방면,30,2020-12,02-3423-6772,37.46659000,127.10866000,2020-02-27
"서울특별시 강남구청","서울특별시 강남구 선릉로 7 (개포동,주공아파트)",서울특별시 강남구 개포동 141-1 (구룡마을입구 교차로 지하보도),생활방범,4,200,360전방면,30,2020-06,02-3423-6772,37.47921000,127.06483000,2020-02-27
"서울특별시 강남구청","서울특별시 강남구 언주로 110 (개포동,경남아파트)",서울특별시 강남구 개포동 649 (경남1차A 2동 옆 정문),생활방범,4,200,360전방면,30,2020-06,02-3423-6772,37.48338000,127.05275000,2020-02-27
"서울특별시 강남구청",서울특별시 강남구 선릉로 103 (개포동),서울특별시 강남구 개포동 650 (구룡중 담장),생활방범,4,200,360전방면,30,2020-06,02-3423-6772,37.48542000,127.05614000,2020-02-27
"서울특별시 강남구청","서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-1 (개포주공1단지 13동 옆),생활방범,3,200,360전방면,30,2020-12,02-3423-6772,37.48227000,127.05929000,2020-02-27
"서울특별시 강남구청","서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-12 (개포주공1단지 55동 옆),생활방범,4,200,360전방면,30,2020-06,02-3423-6772,37.47776000,127.05782000,2020-02-27
"서울특별시 강남구청","서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-12 (개포중 후문),생활방범,1,200,360전방면,30,2020-09,02-3423-6772,37.48060000,127.06097000,2020-02-27
"서울특별시 강남구청","서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-2 (개포주공1단지 91동 옆),생활방범,1,200,360전방면,30,2020-09,02-3423-6772,37.48216000,127.05545000,2020-02-27
"서울특별시 강남구청","서울특별시 강남구 선릉로 7 (개포동,주공아파트)",서울특별시 강남구 개포동 141 (개포주공1단지 104동 뒤쪽 샛길),생활방범,4,200,360전방면,30,2020-12,02-3423-6772,37.47665000,127.05836000,2020-02-27
"서울특별시 강남구청","서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-1 (개포주공1단지 입구),생활방범,4,200,360전방면,30,2020-11,02-3423-6772,37.48344000,127.05718000,2020-02-27
"서울특별시 강남구청","서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-12 (주공1단지입구 18동옆),생활방범,4,200,360전방면,30,2020-01,02-3423-6772,37.48218000,127.06088000,2020-02-27
"서울특별시 강남구청","서울특별시 강남구 개포로 303 (개포동,현대1차아파트)",서울특별시 강남구 개포동 653 (구룡초교 사거리),생활방범,3,200,360전방면,30,2020-01,02-3423-6772,37.48131000,127.05392000,2020-02-27
"서울특별시 강남구청",서울특별시 강남구 선릉로 9 (개포동),서울특별시 강남구 개포동 660-37 (개포중학교 정문),생활방범,4,200,360전방면,30,2020-01,02-3423-6772,37.48033000,127.06309000,2020-02-27
"서울특별시 강남구청","서울특별시 강남구 개포로 303 (개포동,현대1차아파트)",서울특별시 강남구 개포동 653 (개포현대A 104동쪽 출입구),생활방범,3,200,360전방면,30,2020-09,02-3423-6772,37.48228000,127.05341000,2020-02-27
"서울특별시 강남구청",서울특별시 강남구 선릉로 29 (개포동),서울특별시 강남구 개포동 660-10,생활방범,4,200,360전방면,30,2020-02,02-3423-6772,37.48184000,127.05961000,2020-02-27
"서울특별시 강남구청","서울특별시 강남구 언주로6길 21 (개포동,명스튜디오)",서울특별시 강남구 개포동 660-21,생활방범,4,200,360전방면,30,2020-02,02-3423-6772,37.47731000,127.05842000,2020-02-27
"서울특별시 강남구청",서울특별시 강남구 선릉로 29 (개포동),서울특별시 강남구 개포동 660-10 (개원초 후문 저수조와 개포주공1단지 26동 쪽 사이 ),생활방범,3,200,360전방면,30,2020-08,02-3423-6772,37.48067000,127.05876000,2020-02-27
"서울특별시 강남구청","서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-12 (개포주공1단지 75동 앞길),생활방범,4,200,360전방면,30,2020-08,02-3423-6772,37.47980000,127.05714000,2020-02-27
"서울특별시 강남구청",서울특별시 강남구 양재대로 478(개포동),서울특별시 강남구 개포동 570 (구룡마을 8지구 구룡산 2호 공영주차장 내),생활방범,3,200,360전방면,30,2020-08,02-3423-6772,37.47752000,127.06571000,2020-02-27
"서울특별시 강남구청",,서울특별시 강남구 개포동 649-1,생활방범,3,200,360전방면,30,2020-12,02-3423-6772,37.48581000,127.05465000,2020-02-27
"서울특별시 강남구청",서울특별시 강남구 개포로 307 (개포동),서울특별시 강남구 개포동 651-1 (개포우성 9차A 입구),생활방범,4,200,360전방면,30,2020-12,02-3423-6772,37.48398000,127.05731000,2020-02-27
"서울특별시 강남구청",서울특별시 강남구 선릉로 7 (개포동),서울특별시 강남구 개포동 141 (개포주공1단지 112동 앞),생활방범,4,400,360전방면,30,2020-07,02-3423-6772,37.47819000,127.06022000,2020-02-27
"서울특별시 강남구청","서울특별시 강남구 개포로 310 (개포동, 개포주공1차아파트)",서울특별시 강남구 개포동 660-1 (개포1단지 31동~51동 사이),생활방범,4,200,360전방면,30,2020-12,02-3423-6772,37.47987000,127.05928000,2020-02-27
"서울특별시 강남구청",서울특별시 강남구 선릉로8길 26 (개포동),서울특별시 강남구 개포동 160-3,생활방범,4,200,360전방면,30,2020-12,02-3423-6772,37.48367000,127.06257000,2020-02-27
"서울특별시 강남구청",서울특별시 강남구 선릉로12길 12 (개포동),서울특별시 강남구 개포동 169-3,생활방범,4,200,360전방면,30,2020-06,02-3423-6772,37.48364000,127.06116000,2020-02-27
"서울특별시 강남구청",서울특별시 강남구 선릉로18길 15 (개포동),서울특별시 강남구 개포동 170-12,생활방범,4,200,360전방면,30,2020-06,02-3423-6772,37.48451000,127.06131000,2020-02-27
"서울특별시 강남구청",서울특별시 강남구 선릉로18길 8 (개포동),서울특별시 강남구 개포동 172-2,생활방범,4,200,360전방면,30,2020-06,02-3423-6772,37.48389000,127.05991000,2020-02-27
"서울특별시 강남구청",서울특별시 강남구 개포로 402 (개포동),서울특별시 강남구 개포동 173 (개포고 담장),생활방범,4,200,360전방면,30,2020-11,02-3423-6772,37.48457000,127.06009000,2020-02-27
"서울특별시 강남구청",서울특별시 강남구 개포로 401 (개포동),서울특별시 강남구 개포동 174 (개일초 정문),생활방범,4,200,360전방면,30,2020-06,02-3423-6772,37.48507000,127.05802000,2020-02-27
"서울특별시 강남구청",서울특별시 강남구 개포로 511 (개포동),서울특별시 강남구 개포동 182 (양전초 뒤 산책로),생활방범,5,200,360전방면,30,2020-07,02-3423-6772,37.49030000,127.06874000,2020-02-27
"서울특별시 강남구청","서울특별시 강남구 삼성로4길 17 (개포동, 주공아파트)",서울특별시 강남구 개포동 187 (개포주공5단지 501동 앞),생활방범,4,200,360전방면,30,2020-07,02-3423-6772,37.48889000,127.06923000,2020-02-27
