"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 강북구청",서울특별시 강북구 한천로124길 13,서울특별시 강북구 번1동 460-46,어린이보호,1,200,,30,2005-01,02-901-7266,37.63729095,127.0326004,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 한천로124길 13,서울특별시 강북구 번1동 460-46,교통단속,1,200,,30,2014-01,02-901-7266,37.63733292,127.0326614,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 도봉로 102길 21 (번창교),서울특별시 강북구 번동 655-2 (번창교),생활방범,1,200,,30,2005-01,02-901-7266,37.64208984,127.0315857,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 도봉로98길 56,서울특별시 강북구 번1동 471-1,생활방범,1,200,,30,2005-01,02-901-7266,37.64090729,127.0329056,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 한천로131길 33,서울특별시 강북구 번1동 415-1,생활방범,1,200,,30,2005-01,02-901-7266,37.63811874,127.0269089,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 덕릉로51가길 12,서울특별시 강북구 번1동 457-77,어린이보호,1,200,,30,2005-01,02-901-7266,37.63712311,127.0344925,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 덕릉로51가길 38,서울특별시 강북구 번1동 457-60,어린이보호,1,200,,30,2005-01,02-901-7266,37.63788986,127.0333176,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 덕릉로 187-14,서울특별시 강북구 번1동 457-60,어린이보호,1,200,,30,2005-01,02-901-7266,37.63635254,127.0339127,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 덕릉로 187-14,서울특별시 강북구 번1동 454-58,교통단속,1,200,,30,2014-01,02-901-7266,37.63640213,127.0339661,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 인수봉로61길 6,서울특별시 강북구 인수동 410-51,생활방범,1,200,,30,2005-01,02-901-7266,37.63850403,127.0131989,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 인수봉로61길 12-16,서울특별시 강북구 인수동 410-70,생활방범,1,200,,30,2005-01,02-901-7266,37.63910675,127.0125198,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 인수봉로55길 21,서울특별시 강북구 인수동 435-63,생활방범,1,200,,30,2005-01,02-901-7266,37.6367569,127.0116348,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 인수봉로 185-17,서울특별시 강북구 인수동 440-45,생활방범,1,200,,30,2005-01,02-901-7266,37.63602448,127.0126038,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 삼각산로4나길 5-12,서울특별시 강북구 인수동 516-29,생활방범,1,200,,30,2005-01,02-901-7266,37.63807297,127.0083237,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 인수봉로55길 47,서울특별시 강북구 인수동 518-42,생활방범,1,200,,30,2005-01,02-901-7266,37.63672638,127.0103073,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 삼양로41길 40,서울특별시 강북구 삼양동 791-2175,생활방범,1,200,,30,2006-01,02-901-7266,37.62189102,127.0178528,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 삼양로41길 40,서울특별시 강북구 삼양동 791-2175,생활방범,1,200,,30,2019-02,02-901-7266,37.62189102,127.0178528,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 삼양로41길 40,서울특별시 강북구 삼양동 791-2175,생활방범,1,200,,30,2019-02,02-901-7266,37.62189102,127.0178528,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 솔매로22길 43,서울특별시 강북구 삼양동 791-3068,생활방범,1,200,,30,2006-01,02-901-7266,37.62407684,127.0154114,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 도봉로59길 38,서울특별시 강북구 미아동 222-86,생활방범,1,200,,30,2006-01,02-901-7266,37.62784958,127.0224609,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 오현로6길 62,서울특별시 강북구 송중동 75-45,생활방범,1,200,,30,2006-01,02-901-7266,37.61380768,127.0327148,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 오패산로38길 5,서울특별시 강북구 송중동 85-2,생활방범,1,200,,30,2006-01,02-901-7266,37.615448,127.0339584,2020-05-12
"서울특별시 강북구청",서울특별시 강북구 솔샘로64나길 52,서울특별시 강북구 송천동 436-75,생활방범,1,200,,30,2006-01,02-901-7266,37.61632538,127.024704,2020-05-12
