"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 강서구청",서울특별시 강서구 우장산로114,서울특별시 강서구 화곡6동 1103-6,차량방범,1,200,360도전방면,30,2015-01,02-2600-1883,37.553146,126.848516,2020-02-13
"서울특별시 강서구청",서울특별시 강서구 화곡로 302,서울특별시 강서구 화곡6동 980-16,차량방범,1,200,360도전방면,30,2015-01,02-2600-1883,37.550965,126.849534,2020-02-13
"서울특별시 강서구청",서울특별시 강서구 까치산로4길 22,서울특별시 강서구 화곡본동98-99,차량방범,1,200,360도전방면,30,2015-01,02-2600-1883,37.541805,126.844325,2020-02-13
"서울특별시 강서구청",서울특별시 강서구 가로공원로지하189,서울특별시 강서구 화곡1동 662-15,차량방범,1,200,360도전방면,30,2015-01,02-2600-1883,37.537235,126.837038,2020-02-13
"서울특별시 강서구청",서울특별시 강서구 양천로47가길 39-24,서울특별시 강서구 가양1동 239-6,생활방범,2,200,360도전방면,30,2011-02,02-2600-1883,37.571732,126.839413,2020-02-13
"서울특별시 강서구청",서울특별시 강서구 양천로47가길 40,서울특별시 강서구 가양1동 251-6,생활방범,2,200,360도전방면,30,2011-02,02-2600-1883,37.571055,126.840034,2020-02-13
"서울특별시 강서구청",서울특별시 강서구 강서로76길 26,서울특별시 강서구 가양1동 146-11,생활방범,2,200,360도전방면,30,2012-04,02-2600-1883,37.569275,126.842996,2020-02-13
"서울특별시 강서구청",서울특별시 강서구 강서로76길7,서울특별시 강서구 가양1동151-11,생활방범,1,130,360도전방면,30,2013-12,02-2600-1883,37.569523,126.842044,2020-02-13
"서울특별시 강서구청",서울특별시 강서구 강서로532,서울특별시 강서구 가양1동1459,생활방범,1,130,360도전방면,30,2013-12,02-2600-1883,37.572647,126.842276,2020-02-13
"서울특별시 강서구청",서울특별시 강서구 강서로532,서울특별시 강서구 가양1동1459,생활방범,2,200,360도전방면,30,2013-12,02-2600-1883,37.573273,126.844635,2020-02-13
"서울특별시 강서구청",서울특별시 강서구 허준로23,서울특별시 강서구 가양1동1460,생활방범,1,130,360도전방면,30,2013-12,02-2600-1883,37.571211,126.846535,2020-02-13
"서울특별시 강서구청",서울특별시 강서구 양천로 47가길 25-18,서울특별시 강서구 가양1동 246-1,생활방범,2,200,360도전방면,30,2015-09,02-2600-1883,37.571747,126.839119,2020-02-13
"서울특별시 강서구청",서울특별시 강서구 양천로 53길 52,서울특별시 강서구 가양동 30-10,생활방범,2,200,360도전방면,30,2015-12,02-2600-1883,37.567222,126.847921,2020-02-13
"서울특별시 강서구청",서울특별시 강서구 강서로 76길 24,서울특별시 강서구 가양동 146-58,생활방범,1,200,360도전방면,30,2015-12,02-2600-1883,37.569302,126.842833,2020-02-13
"서울특별시 강서구청",서울특별시 강서구 강서로74길 21,서울특별시 강서구 가양1동 130-3,생활방범,3,200,360도전방면,30,2016-05,02-2600-1883,37.567393,126.842365,2020-02-13
