"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"관악구청",서울특별시 관악구 쑥고개로2라길 (쑥고개어린이공원),,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.47589054,126.9406859,2019-10-31
"관악구청",서울특별시 관악구 쑥고개로2라길 (쑥고개어린이공원),,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.47599585,126.9410376,2019-10-31
"관악구청",서울특별시 관악구 관악로6길 50 백설어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.47587787,126.9535853,2019-10-31
"관악구청",서울특별시 관악구 관악로6길 50 백설어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.47614016,126.9537496,2019-10-31
"관악구청",서울특별시 관악구 신림로31가길 신화어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.47697373,126.9355708,2019-10-31
"관악구청",서울특별시 관악구 남부순환로200다길 23 봉림어린이공원,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.48272379,126.9356300,2019-10-31
"관악구청",서울특별시 관악구 낙성대역8길 28 약수어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.47404095,126.9621846,2019-10-31
"관악구청",서울특별시 관악구 서림3길 47 해태어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.47250207,126.9404654,2019-10-31
"관악구청",서울특별시 관악구 서림3길 47 해태어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.47268706,126.9406960,2019-10-31
"관악구청",서울특별시 관악구 광신길 154 합실어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.46508382,126.9268657,2019-10-31
"관악구청",서울특별시 관악구 광신길 154 합실어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.46502730,126.9272175,2019-10-31
"관악구청",서울특별시 관악구 난우10가길 14-7 미성동공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.47624854,126.9194839,2019-10-31
"관악구청",서울특별시 관악구 난우10가길 14-7 미성동공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.47641056,126.9199238,2019-10-31
"관악구청",서울특별시 관악구 신림로70길 74 색동공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.48645833,126.9329445,2019-10-31
"관악구청",서울특별시 관악구 승방3나길14 와 승방3가길 10 상록공원,,다목적,1,130,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.47298710,126.9802197,2019-10-31
"관악구청",서울특별시 관악구 승방3나길14 와 승방3가길 10 상록공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.47286864,126.9803893,2019-10-31
"관악구청",서울특별시 관악구 양녕로6다길 11-4 새싹공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.48438305,126.9497668,2019-10-31
"관악구청",서울특별시 관악구 양녕로6다길 11-4 새싹공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.48457844,126.9495390,2019-10-31
"관악구청",서울특별시 관악구 인헌3가길 8 밤골공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.47395933,126.9673659,2019-10-31
"관악구청",서울특별시 관악구 청룡12길 17-4 청룡공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.47777622,126.9447741,2019-10-31
"관악구청",서울특별시 관악구 법원단지길 158-11 보명공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.47575066,126.9257524,2019-10-31
"관악구청",서울특별시 관악구 법원단지길 158-11 보명공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.47545839,126.9256939,2019-10-31
"관악구청",서울특별시 관악구 국회단지19길 23 국지어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2011-01,02-879-5831,37.48995297,126.9405815,2019-10-31
"관악구청",서울특별시 관악구 국회단지19길 23 국지어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2011-01,02-879-5831,37.49009773,126.9404468,2019-10-31
"관악구청",서울특별시 관악구 남부순환로246라길 3 원당어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2011-01,02-879-5831,37.47464617,126.9637102,2019-10-31
"관악구청",서울특별시 관악구 남부순환로246라길 3 원당어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2011-01,02-879-5831,37.47482758,126.9634234,2019-10-31
"관악구청",서울특별시 관악구 남현길 41 예촌어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2011-01,02-879-5831,37.47474442,126.9768983,2019-10-31
"관악구청",서울특별시 관악구 남현길 41 예촌어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2011-01,02-879-5831,37.47446087,126.9765527,2019-10-31
"관악구청",서울특별시 관악구 남현길 41 예촌어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2011-02,02-879-5831,37.46921408,126.9646514,2019-10-31
"관악구청",서울특별시 관악구 관천로22길 63 새들어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2011-02,02-879-5831,37.48860748,126.9256290,2019-10-31
"관악구청",서울특별시 관악구 관천로22길 63 새들어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2011-02,02-879-5831,37.48864772,126.9259222,2019-10-31
"관악구청",서울특별시 관악구 낙성대역14가길 3 교체어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2011-11,02-879-5831,37.47348909,126.9641343,2019-10-31
"관악구청",서울특별시 관악구 낙성대역8길 50-8 탑골공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2011-11,02-879-5831,37.47447325,126.9611728,2019-10-31
"관악구청",서울특별시 관악구 남부순환로163가길 20 남부어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2011-11,02-879-5831,37.48483226,126.9207072,2019-10-31
"관악구청",서울특별시 관악구 남부순환로163가길 20 남부어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2011-11,02-879-5831,37.48507241,126.9204881,2019-10-31
"관악구청",서울특별시 관악구 난곡로26길 69 무궁화공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2011-11,02-879-5831,37.46960180,126.9236499,2019-10-31
"관악구청",서울특별시 관악구 관악로15길 21 송학어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2011-12,02-879-5831,37.48046347,126.9491287,2019-10-31
"관악구청",서울특별시 관악구 장군봉 7길 15-4 비안어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2011-12,02-879-5831,37.48063484,126.9401712,2019-10-31
"관악구청",서울특별시 관악구 서원3길 10 서원어린이공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2011-12,02-879-5831,37.47661508,126.9332997,2019-10-31
"관악구청",서울특별시 관악구 청룡동 556-91 청룡산공원,,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2012-02,02-879-5831,37.47727121,126.9493785,2019-10-31
