"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 구로구청",서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,3,200,,30,2009-01,02-860-3437,37.5065824166,126.8532782573,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,2,200,,30,2009-01,02-860-3437,37.5065824166,126.8532782573,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,3,200,,30,2009-01,02-860-3437,37.5065824166,126.8532782573,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 개봉로3가길 88-9,서울특별시 구로구 개봉동 312-25,생활방범,4,200,,30,2009-01,02-860-3437,37.4829381876,126.8518139725,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 구일로 68,서울특별시 구로구 구로동 685-221,생활방범,3,200,,30,2010-01,02-860-3437,37.4931916033,126.8734732749,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 구일로 62,서울특별시 구로구 구로동 685-219,생활방범,4,200,,30,2010-01,02-860-3437,37.4917761694,126.8743621874,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 구로중앙로27가길 23,서울특별시 구로구 구로동 513-34,생활방범,3,200,,30,2010-01,02-860-3437,37.4977202471,126.8860498578,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 구로중앙로27나길 18,서울특별시 구로구 구로동 511-25,생활방범,3,200,,30,2010-01,02-860-3437,37.4968469607,126.8849022430,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 가마산로26길 34,서울특별시 구로구 구로동 90 - 1,생활방범,5,41,,30,2010-01,02-860-3437,37.4947773652,126.8915862854,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 가마산로27길 69,서울특별시 구로구 구로동 105,생활방범,3,200,,30,2010-01,02-860-3437,37.4996591332,126.8897652795,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 구로동로7나길 32,서울특별시 구로구 가리봉동 10-7,생활방범,3,200,,30,2010-01,02-860-3437,37.4853050818,126.8830882599,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 구로동로7나길 15,서울특별시 구로구 가리봉동 13-21,생활방범,3,200,,30,2010-01,02-860-3437,37.4859722064,126.8834716529,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 고척로 211,서울특별시 구로구 고척동 169-13,생활방범,3,130,,30,2010-01,02-860-3437,37.5055233061,126.8565963593,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 고척로27길 32,서울특별시 구로구 개봉동 119-13,생활방범,3,200,,30,2010-01,02-860-3437,37.5034245761,126.8470280391,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 개봉로16길 31,서울특별시 구로구 개봉동 262-32,생활방범,3,130,,30,2010-01,02-860-3437,37.4901753710,126.8579192802,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 개봉로2길 87-15,서울특별시 구로구 개봉동 276-21,생활방범,3,130,,30,2010-01,02-860-3437,37.4890127349,126.8591426703,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 고척로10길 45,서울특별시 구로구 오류동 13-46,생활방범,3,200,,30,2010-01,02-860-3437,37.4972404204,126.8418161113,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 경인로19길 48-1,서울특별시 구로구 오류동 16-4,생활방범,5,41,,30,2010-01,02-860-3437,37.4977948,126.8427717,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 고척로16길 75,서울특별시 구로구 오류동 30-5,생활방범,3,200,,30,2010-01,02-860-3437,37.4974914163,126.8435571020,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 경인로25길 56,서울특별시 구로구 오류동 27-56,생활방범,3,200,,30,2010-01,02-860-3437,37.4984820339,126.8431886329,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 서해안로24길 21-4,서울특별시 구로구 오류동 165-3,생활방범,4,200,,30,2010-01,02-860-3437,37.4895245645,126.8394126058,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 서해안로20길 24,서울특별시 구로구 오류동 187-24,생활방범,5,200,,30,2010-01,02-860-3437,37.4887838207,126.8380075685,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 서해안로24길 22,서울특별시 구로구 오류동 332-59,생활방범,3,130,,30,2010-01,02-860-3437,37.4896863391,126.8391137443,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 부일로 883,서울특별시 구로구 온수동 8-2,생활방범,3,200,,30,2010-01,02-860-3437,37.4932671234,126.8252877681,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 부일로9길 57,서울특별시 구로구 온수동 7-5,생활방범,3,200,,30,2010-01,02-860-3437,37.4952243756,126.8254686637,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 부일로 893,서울특별시 구로구 온수동 산1-2,생활방범,3,200,,30,2010-01,02-860-3437,37.4940033499,126.8259690590,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 고척로21다길 14,서울특별시 구로구 개봉동 7-33,생활방범,3,200,,30,2010-01,02-860-3437,37.5036195842,126.8445666946,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 고척로21길 55,서울특별시 구로구 개봉동 산1-2,생활방범,3,200,,30,2010-01,02-860-3437,37.5049167652,126.8443649547,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 경인로2길 11,서울특별시 구로구 오류동 108-80,생활방범,3,200,,30,2010-01,02-860-3437,37.4898500065,126.8273989069,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 경인로2길 10,서울특별시 구로구 오류동 108-28,생활방범,3,200,,30,2010-01,02-860-3437,37.4901657550,126.8264393073,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 디지털로27길 64,서울특별시 구로구 구로동 252-60,생활방범,3,130,,30,2010-01,02-860-3437,37.4841013443,126.8906248269,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 디지털로27다길 9,서울특별시 구로구 구로동 797-14,생활방범,3,200,,30,2010-01,02-860-3437,37.4846948975,126.8894299794,2020-04-27
