"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 금천구",서울특별시 금천구 독산로58가길 68,서울특별시 금천구 독산동 378-48,다목적,4,130,360도전방면,30,2006-02,02-2627-1903,37.465061,126.906891,2020-02-20
"서울특별시 금천구",서울특별시 금천구 독산로64길 70,서울특별시 금천구 독산동 377-5,다목적,4,200,360도전방면,30,2006-02,02-2627-1903,37.465061,126.905941,2020-02-20
"서울특별시 금천구",서울특별시 금천구 독산로68길 61,서울특별시 금천구 독산동 945-3,다목적,3,130,270도전방면,30,2006-02,02-2627-1903,37.465061,126.904855,2020-02-20
"서울특별시 금천구",서울특별시 금천구 독산로58길 42,서울특별시 금천구 독산동 379-3,다목적,1,200,360도전방면,30,2006-02,02-2627-1903,37.465061,126.905339,2020-02-20
"서울특별시 금천구",서울특별시 금천구 독산로60길 24,서울특별시 금천구 독산동 378-273,다목적,4,130,360도전방면,30,2006-02,02-2627-1903,37.465061,126.9042580929,2020-02-20
"서울특별시 금천구",서울특별시 금천구 독산로56길 18-4,서울특별시 금천구 독산동 378-460,다목적,3,130,270도전방면,30,2006-02,02-2627-1903,37.465061,126.904416,2020-02-20
"서울특별시 금천구",서울특별시 금천구 독산로68길 15,서울특별시 금천구 독산동 1038-16,다목적,3,130,270도전방면,30,2006-02,02-2627-1903,37.465061,126.9026647470,2020-02-20
"서울특별시 금천구",서울특별시 금천구 독산로67길 19,서울특별시 금천구 독산동 1042-19,다목적,4,130,360도전방면,30,2006-02,02-2627-1903,37.465061,126.901375,2020-02-20
"서울특별시 금천구",서울특별시 금천구 시흥대로94길 72,서울특별시 금천구 독산동 1062,다목적,3,130,270도전방면,30,2006-02,02-2627-1903,37.465061,126.901528,2020-02-20
"서울특별시 금천구",서울특별시 금천구 시흥대로100길 35,서울특별시 금천구 독산동 1052-13,다목적,3,200,360도전방면,30,2006-02,02-2627-1903,37.465061,126.899426,2020-02-20
"서울특별시 금천구",서울특별시 금천구 시흥대로84길 31,서울특별시 금천구 독산동 1069-15,다목적,4,200,360도전방면,30,2006-02,02-2627-1903,37.465061,126.901082,2020-02-20
"서울특별시 금천구",서울특별시 금천구 시흥대로88길 21,서울특별시 금천구 독산동 1069,다목적,1,200,360도전방면,30,2006-02,02-2627-1903,37.465061,126.900183,2020-02-20
"서울특별시 금천구",서울특별시 금천구 독산로50길 141,서울특별시 금천구 시흥동 3-107,다목적,3,130,270도전방면,30,2006-02,02-2627-1903,37.465061,126.911859,2020-02-20
"서울특별시 금천구",서울특별시 금천구 독산로40길 78,서울특별시 금천구 시흥동 796-36,다목적,5,200,360도전방면,30,2006-02,02-2627-1903,37.465061,126.908381,2020-02-20
"서울특별시 금천구",서울특별시 금천구 독산로44다길 11,서울특별시 금천구 시흥동 791-21,다목적,1,200,360도전방면,30,2006-02,02-2627-1903,37.465061,126.906498,2020-02-20
