"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 동대문구",서울특별시 동대문구 전농동 35,서울특별시 동대문구 답십리1동 268-4,어린이보호,3,200,,,2006-01,02-2127-4091,37.5681008,127.056913,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 천호대로69나길 23,서울특별시 동대문구 답십리1동 294-129,어린이보호,3,200,,,2006-01,02-2127-4091,37.5691114,127.053758,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 천호대로 281,서울특별시 동대문구 답십리1동 495-3,생활방범,3,200,,,2006-01,02-2127-4091,37.566899,127.052903,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 사가정로2길 9,서울특별시 동대문구 답십리동 714,생활방범,3,200,,,2007-01,02-2127-4091,37.5713516,127.050902,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 답십리로38길 25,서울특별시 동대문구 답십리1동 470-3,생활방범,3,200,,,2007-01,02-2127-4091,37.5733388,127.0498760264,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 답십리로40길 5,서울특별시 동대문구 답십리1동 467-69,생활방범,3,200,,,2008-01,02-2127-4091,37.5721494,127.049883,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 사가정로2길 24,서울특별시 동대문구 답십리1동 482-102,생활방범,3,200,,,2008-01,02-2127-4091,37.5708131,127.051413,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 황물로 133-1,서울특별시 동대문구 답십리1동 485-73,어린이보호,3,200,,,2008-01,02-2127-4091,37.5676482222,127.0537434721,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 전농로5길 10,서울특별시 동대문구 답십리동 253-23,생활방범,3,200,,,2009-01,02-2127-4091,37.57093455,127.0567399,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 황물로 90,서울특별시 동대문구 답십리1동 530-4,생활방범,3,200,,,2009-01,02-2127-4091,37.5704646,127.049755,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 사가정로2길 121,서울특별시 동대문구 답십리1동 486-16,어린이보호,3,200,,,2009-01,02-2127-4091,37.5678582,127.055523,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 전농로3길 38,서울특별시 동대문구 답십리동 269-10,어린이보호,3,200,,,2010-01,02-2127-4091,37.5694459,127.056065,2020-04-01
"서울특별시 동대문구",,서울특별시 동대문구 답십리동 544-3,어린이보호,3,200,,,2010-01,02-2127-4091,37.5743727,127.0439900,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 사가정로2길 59,서울특별시 동대문구 답십리동 320-20,생활방범,3,200,,,2016-10,02-2127-4091,37.569848,127.053101,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 전농로 79-30,서울특별시 동대문구 답십리1동 248-14,생활방범,3,200,,,2010-01,02-2127-4091,37.5719934,127.056174,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 전농로 75,서울특별시 동대문구 답십리1동 250-13,생활방범,3,200,,,2010-01,02-2127-4091,37.5714906,127.057193,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 황물로 111,서울특별시 동대문구 답십리1동 483-26,생활방범,3,200,,,2010-01,02-2127-4091,37.5690474132,127.0518518750,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 천호대로75길 38,서울특별시 동대문구 답십리1동 490-81,생활방범,3,200,,,2010-01,02-2127-4091,37.5672974,127.055378,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 고미술로 43,서울특별시 동대문구 답십리1동 530-10,생활방범,3,200,,,2010-01,02-2127-4091,37.5678303,127.052492,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 전농로 105-1,서울특별시 동대문구 답십리1동 99-22,생활방범,3,200,,,2010-01,02-2127-4091,37.5744863,127.057455,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 전농로 53-5,서울특별시 동대문구 답십리동 260,생활방범,3,200,,,2011-11,02-2127-4091,37.5696446,127.056672,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 서울시립대로4길 70,서울특별시 동대문구 답십리동 470-1,생활방범,3,200,,,2011-11,02-2127-4091,37.5731584,127.050144,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 황물로 65-13,서울특별시 동대문구 답십리1동 469-13,생활방범,3,200,,,2011-11,02-2127-4091,37.5727062,127.048893,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 천호대로 177,서울특별시 동대문구 답십리동 463-13,어린이보호,3,200,,,2012-01,02-2127-4091,37.5734361,127.042922,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 사가정로 30,서울특별시 동대문구 답십리1동 477-9,어린이보호,3,200,,,2012-01,02-2127-4091,37.5719868,127.050978,2020-04-01
"서울특별시 동대문구",서울특별시 동대문구 황물로 32,서울특별시 동대문구 답십리1동 557-1,어린이보호,3,200,,,2012-01,02-2127-4091,37.5738766,127.045611,2020-04-01
