"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시시설관리공단",서울특별시 강서구 개화동로8길 17 (개화동),서울특별시 강서구 개화동 663,시설물관리,8,41,주차장 내부,30,2014-01,02-2290-6449,37.576980,126.798922,2019-04-30
"서울특별시시설관리공단",서울특별시 마포구 가양대로 117 (상암동),서울특별시 마포구 상암동 1667,시설물관리,4,41,주차장 내부,30,2014-01,02-2290-6449,37.581243,126.877391,2019-04-30
"서울특별시시설관리공단",서울특별시 양천구 신정로7길 17 (신정동),서울특별시 양천구 신정동 1312,시설물관리,9,41,주차장 내부,30,2011-01,02-2290-6449,37.507453,126.836495,2019-04-30
"서울특별시시설관리공단",서울특별시 은평구 수색로24길 19 (수색동,서울특별시 은평구 수색동 414-1,시설물관리,4,41,주차장 내부,30,2014-01,02-2290-6449,37.592744,126.885442,2019-04-30
"서울특별시시설관리공단",서울특별시 송파구 충민로6길 61-23 (장지동,서울특별시 송파구 장지동 862-2,시설물관리,15,41,주차장 내부,30,2011-01,02-2290-6449,37.481263,127.136412,2019-04-30
"서울특별시시설관리공단",서울특별시 관악구 난곡로 93 (신림동),서울특별시 관악구 신림동 678-2,시설물관리,7,41,주차장 내부,30,2011-01,02-2290-6449,37.463888,126.918342,2019-04-30
"서울특별시시설관리공단",서울특별시 도봉구 도봉로 961 (도봉동),서울특별시 도봉구 도봉동 341-1,시설물관리,3,41,주차장 내부,30,2011-01,02-2290-6449,37.690031,127.043241,2019-04-30
"서울특별시시설관리공단",서울특별시 송파구 헌릉로 869 (장지동),서울특별시 송파구 장지동 579,시설물관리,7,41,주차장 내부,30,2011-01,02-2290-6449,37.469447,127.132669,2019-04-30
"서울특별시시설관리공단",서울특별시 강동구 아리수로 426 (강일동),서울특별시 강동구 강일동 565,시설물관리,9,41,주차장 내부,30,2013-01,02-2290-6449,37.563761,127.174655,2019-04-30
"서울특별시시설관리공단",서울특별시 서초구 동작대로 350 (반포동),서울특별시 서초구 반포동 1333-1,시설물관리,4,200,주차장 내부,30,2016-01,02-2290-6449,37.505867,126.981121,2019-04-30
"서울특별시시설관리공단",서울특별시 중랑구 봉화산로 190 (신내동),서울특별시 중랑구 신내동 665,시설물관리,9,41,주차장 내부,30,2011-01,02-2290-6449,37.606218,127.094189,2019-04-30
"서울특별시시설관리공단",서울특별시 중랑구 신내로 277 (묵동),서울특별시 중랑구 묵동 28,시설물관리,37,41,주차장 내부,30,2016-01,02-2290-6449,37.620090,127.086690,2019-04-30
"서울특별시시설관리공단",서울특별시 중구 퇴계로34길 16-9 (필동2가),서울특별시 중구 필동2가 84-91,시설물관리,3,41,주차장 내부,30,2012-01,02-2290-6449,37.560036,126.992741,2019-04-30
"서울특별시시설관리공단",서울특별시 중구 마장로 22  (신당동),서울특별시 중구 신당동 251-7,시설물관리,95,41,주차장 내부,30,2013-01,02-2290-6449,37.567161,127.012132,2019-04-30
