"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 성동구청",서울특별시 성동구 용답길 133,서울특별시 성동구 용답동 24-37,생활방범,4,200,360도 전방면,30,2015-01,02-2286-5878,37.5609359,127.0546245,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 용답중앙길 80-1,서울특별시 성동구 용답동 44-6,생활방범,4,200,360도 전방면,30,2015-01,02-2286-5878,37.5626248,127.0541074,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 용답29길 23,서울특별시 성동구 용답동 58-1,생활방범,4,200,360도 전방면,30,2015-01,02-2286-5878,37.5645879,127.0536219,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 천호대로 276,서울특별시 성동구 용답동 103-9,생활방범,3,200,360도 전방면,30,2015-01,02-2286-5878,37.5671822,127.0515119,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 용답15길 1,서울특별시 성동구 용답동 170-8,생활방범,3,200,360도 전방면,30,2015-01,02-2286-5878,37.5636013,127.0508193,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 용답중앙1길 1,서울특별시 성동구 용답동 114-3,생활방범,4,200,360도 전방면,30,2015-01,02-2286-5878,37.5673666,127.0499146,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 무학로2나길 28,서울특별시 성동구 도선동 185-28,생활방범,3,200,360도 전방면,30,2015-01,02-2286-5878,37.5641413,127.0341879,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 무학로4길 21,서울특별시 성동구 도선동 177,생활방범,4,200,360도 전방면,30,2015-01,02-2286-5878,37.5647318,127.0333017,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 왕십리로26길 1,서울특별시 성동구 도선동 284-2,생활방범,4,200,360도 전방면,30,2015-01,02-2286-5878,37.5632241,127.0324680,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 왕십리로 318,서울특별시 성동구 도선동 45,생활방범,3,200,360도 전방면,30,2015-01,02-2286-5878,37.5621259,127.0344471,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 왕십리로21길 3,서울특별시 성동구 행당동 286-14,생활방범,5,200,360도 전방면,30,2015-01,02-2286-5878,37.5617941,127.0337553,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 왕십리로 271-1,서울특별시 성동구 행당동 134-4,생활방범,3,200,360도 전방면,30,2015-01,02-2286-5878,37.5586851,127.0372120,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 무학봉26길 2,서울특별시 성동구 하왕십리동 966-43,생활방범,4,200,360도 전방면,30,2015-01,02-2286-5878,37.5619243,127.0320512,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 무학봉15길 22,서울특별시 성동구 하왕십리동 955-13,생활방범,4,200,360도 전방면,30,2013-01,02-2286-5878,37.5631947,127.0306074,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 금호산2길 16,서울특별시 성동구 금호동3가 451,생활방범,5,200,360도 전방면,30,2013-01,02-2286-5878,37.5487298,127.0213758,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 동호로 84,서울특별시 성동구 금호동4가 1250,생활방범,4,200,360도 전방면,30,2013-01,02-2286-5878,37.5470635,127.0174345,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 마조로1길 42,서울특별시 성동구 행당동 1-17,생활방범,3,200,360도 전방면,30,2015-01,02-2286-5878,37.5610797,127.0393956,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 마조로11길 3-1,서울특별시 성동구 행당동 1-93,생활방범,4,200,360도 전방면,30,2015-01,02-2286-5878,37.5616583,127.0410769,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 둘레길 61,서울특별시 성동구 성수동1가 343,생활방범,3,200,360도 전방면,30,2017-01,02-2286-5878,37.5363304,127.0502912,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 독서당로59가길 4,서울특별시 성동구 응봉동 265-166,생활방범,3,200,360도 전방면,30,2017-01,02-2286-5878,37.5514448,127.0301406,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 상원12길 10,서울특별시 성동구 성수동1가 13-54,생활방범,5,200,360도 전방면,30,2017-01,02-2286-5878,37.5503301,127.0487242,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 성수일로11길 15,서울특별시 성동구 성수동1가 13-117,생활방범,3,200,360도 전방면,30,2017-01,02-2286-5878,37.5494244,127.0498232,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 상원길 48-1,서울특별시 성동구 성수동1가 13-145,생활방범,4,200,360도 전방면,30,2017-01,02-2286-5878,37.5482487,127.0485017,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 왕십리로14길 18,서울특별시 성동구 성수동1가 656-805,생활방범,3,200,360도 전방면,30,2017-01,02-2286-5878,37.5485937,127.0455854,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 뚝섬로13길 22,서울특별시 성동구 성수동2가 268,생활방범,4,200,360도 전방면,30,2017-01,02-2286-5878,37.5404360421,127.0580689191,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 뚝섬로 447,서울특별시 성동구 성수동2가 231-1,생활방범,4,200,360도 전방면,30,2017-01,02-2286-5878,37.5378364293,127.0603885,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 뚝섬로17길 29,서울특별시 성동구 성수동2가 255-1,생활방범,4,200,360도 전방면,30,2017-01,02-2286-5878,37.5401225,127.0603630,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 둘레15길 13,서울특별시 성동구 성수동2가 655,생활방범,3,200,360도 전방면,30,2017-01,02-2286-5878,37.5359783,127.0554703,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 아차산로7길 24,서울특별시 성동구 성수동2가 289-262,생활방범,5,200,360도 전방면,30,2017-01,02-2286-5878,37.5471411,127.0551032,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 성수일로12길 15,서울특별시 성동구 성수동2가 299-151,생활방범,3,200,360도 전방면,30,2017-01,02-2286-5878,37.5486420,127.0529283,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 광나루로11길 52-1,서울특별시 성동구 송정동 1-129,생활방범,3,200,360도 전방면,30,2015-01,02-2286-5878,37.5520211,127.0685478,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 광나루로11길 18,서울특별시 성동구 송정동 66-34,생활방범,3,200,360도 전방면,30,2015-01,02-2286-5878,37.5494050,127.0664866,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 왕십리로33길 9-1,서울특별시 성동구 하왕십리동 890-17,생활방범,3,200,360도 전방면,30,2015-01,02-2286-5878,37.5639102,127.0271175,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 입구,서울특별시 성동구 하왕십리동 1052-1,생활방범,3,200,360도 전방면,30,2015-01,02-2286-5878,37.5619237,127.0268298,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 왕십리로24가길 22,서울특별시 성동구 도선동 125,생활방범,3,200,360도 전방면,30,2015-01,02-2286-5878,37.5637700,127.0347405,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 왕십리로28길 29,서울특별시 성동구 홍익동 344-1,생활방범,4,200,360도 전방면,30,2017-01,02-2286-5878,37.5661504,127.0318596,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 마장로23길 5,서울특별시 성동구 홍익동 40,생활방범,4,200,360도 전방면,30,2017-01,02-2286-5878,37.5670818,127.0320479,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 왕십리로 291-1,서울특별시 성동구 행당동 267-18,생활방범,3,200,360도 전방면,30,2017-01,02-2286-5878,37.5600284,127.0360056,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 청계천로10나길 75,서울특별시 성동구 마장동 474-27,생활방범,4,200,360도 전방면,30,2017-01,02-2286-5878,37.5702519,127.0370273,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 행당로15길 6,서울특별시 성동구 행당동 311-30,생활방범,2,200,360도 전방면,30,2015-01,02-2286-5878,37.5584887,127.0318433,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 행당로11길 20,서울특별시 성동구 행당동 306-31,생활방범,3,200,360도 전방면,30,2015-01,02-2286-5878,37.5593524,127.0303607,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 성덕정9가길 13,서울특별시 성동구 성수동1가 277-1,생활방범,4,200,360도 전방면,30,2014-01,02-2286-5878,37.5393620,127.0513100,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 사근동길 56,서울특별시 성동구 사근동 176-10,생활방범,3,200,360도 전방면,30,2015-01,02-2286-5878,37.5607212,127.0470822,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 사근동12길 21,서울특별시 성동구 사근동 186-4,생활방범,3,200,360도 전방면,30,2015-01,02-2286-5878,37.5595515,127.0474094,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 살곶이2길 27-10,서울특별시 성동구 사근동 226-5,생활방범,3,200,360도 전방면,30,2015-01,02-2286-5878,37.5631565,127.0462769,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 마조로3나길3,서울특별시 성동구 사근동 19-114,생활방범,3,200,360도 전방면,30,2015-01,02-2286-5878,37.5587882,127.0393604,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 마조로3가길 21,서울특별시 성동구 행당동 19-60,생활방범,3,200,360도 전방면,30,2015-01,02-2286-5878,37.5594687,127.0399584,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 사근동2길 18,서울특별시 성동구 사근동 312-20,생활방범,2,200,360도 전방면,30,2017-01,02-2286-5878,37.5599980,127.0455690,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 고산자로8길 34,서울특별시 성동구 행당동 135-2,생활방범,3,200,360도 전방면,30,2017-01,02-2286-5878,37.5582027,127.0375174,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 독서당로62가길 33,서울특별시 성동구 응봉동 193-143,생활방범,3,200,360도 전방면,30,2017-01,02-2286-5878,37.5489273,127.0331054,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 독서당로60길 6-1,서울특별시 성동구 응봉동 193-192,생활방범,3,200,360도 전방면,30,2017-01,02-2286-5878,37.5493459,127.0309713,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 독서당로59나길 40,서울특별시 성동구 응봉동 264-90,생활방범,3,200,360도 전방면,30,2017-01,02-2286-5878,37.5531594,127.0297958,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 독서당로59다길 21,서울특별시 성동구 응봉동 265-78,생활방범,3,200,360도 전방면,30,2017-01,02-2286-5878,37.5527136,127.0307013,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 행당로1길 12-1,서울특별시 성동구 금호동1가 167-58,생활방범,3,200,360도 전방면,30,2017-01,02-2286-5878,37.5565912,127.0238603,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 금호로 176,서울특별시 성동구 금호동1가 91,생활방범,3,200,360도 전방면,30,2017-01,02-2286-5878,37.5565122,127.0200901,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 독서당로59가길 25-3,서울특별시 성동구 응봉동 265-140,생활방범,3,200,360도 전방면,30,2017-01,02-2286-5878,37.5519950,127.0299560,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 무수막길 84,서울특별시 성동구 금호동2가 522,생활방범,4,200,360도 전방면,30,2017-01,02-2286-5878,37.5533852,127.0205883,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 무수막길 66,서울특별시 성동구 금호동2가 658,생활방범,5,200,360도 전방면,30,2017-01,02-2286-5878,37.5517889,127.0210574,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 무수막3길 7-1,서울특별시 성동구 금호동3가 122,생활방범,3,200,360도 전방면,30,2017-01,02-2286-5878,37.5490213,127.0245905,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 뚝섬로 338,서울특별시 성동구 성수동1가 72-130,생활방범,3,200,360도 전방면,30,2017-01,02-2286-5878,37.5403138,127.0482461,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 장터5가길 32,서울특별시 성동구 금호동3가 502,생활방범,3,41,360도 전방면,30,2008-01,02-2286-5878,37.5498479,127.0226739,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 동호로2길 23-1,서울특별시 성동구 금호동4가 1359,생활방범,3,41,360도 전방면,30,2008-01,02-2286-5878,37.5479620,127.0186460,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 둘레7가길 21,서울특별시 성동구 성수동1가 369-7,생활방범,1,41,360도 전방면,30,2008-01,02-2286-5878,37.5368453,127.0497656,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 왕십리로2길 20,서울특별시 성동구 성수동1가 656-1212,생활방범,3,41,360도 전방면,30,2008-01,02-2286-5878,37.5429661,127.0469710,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 둘레19길 10-1,서울특별시 성동구 성수동2가 223-10,생활방범,3,41,360도 전방면,30,2008-01,02-2286-5878,37.5353895,127.0581555237,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 둘레23길 12-6,서울특별시 성동구 성수동2가 216-8,생활방범,3,41,360도 전방면,30,2008-01,02-2286-5878,37.5356372,127.0590139,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 성수이로7길 34,서울특별시 성동구 성수동2가 321-17,생활방범,4,200,360도 전방면,30,2008-01,02-2286-5878,37.5420440,127.0537598,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 성수이로7가길 15,서울특별시 성동구 성수동2가 321-66,생활방범,4,200,360도 전방면,30,2008-01,02-2286-5878,37.5415201,127.0551752,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 뚝섬로11길 8,서울특별시 성동구 성수동2가 328-61,생활방범,3,41,360도 전방면,30,2008-01,02-2286-5878,37.5388970,127.0569577,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 성덕정11길 20-1,서울특별시 성동구 성수동2가 339-10,생활방범,1,41,360도 전방면,30,2008-01,02-2286-5878,37.5389984,127.0534147,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 둘레9길 14,서울특별시 성동구 성수동2가 378-1,생활방범,3,41,360도 전방면,30,2008-01,02-2286-5878,37.5372529,127.0509237,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 둘레11길 18-1,서울특별시 성동구 성수동2가 472-2,생활방범,3,41,360도 전방면,30,2008-01,02-2286-5878,37.5370950,127.0525822,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 둘레13길 17,서울특별시 성동구 성수동2가 779-2,생활방범,3,41,360도 전방면,30,2008-01,02-2286-5878,37.5360877,127.0531494,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 아차산로1길 19,서울특별시 성동구 성수동1가 656-526,생활방범,3,41,360도 전방면,30,2008-01,02-2286-5878,37.5497634,127.0462722,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 광나루로 138,서울특별시 성동구 성수동1가 656-611,생활방범,1,41,360도 전방면,30,2008-01,02-2286-5878,37.5512611,127.0454043,2019-06-03
"서울특별시 성동구청",서울특별시 성동구 왕십리로 136,서울특별시 성동구 성수동1가 656-947,생활방범,3,41,360도 전방면,30,2008-01,02-2286-5878,37.5496496,127.0445693,2019-06-03
