"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 송파구청",,서울특별시 송파구 잠실본동 181-6,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.511555,127.082214,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 방이2동 70-1,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.513073,127.110283,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 방이2동 121,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.509415,127.115913,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 송파1동 9-9,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.509220,127.105911,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 송파1동 18-18,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.506966,127.108192,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 송파1동 26-7,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.508163,127.107163,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 송파1동 36-19,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.509563,127.107651,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 송파1동 41-1,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.508602,127.108460,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 송파1동 43-1,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.509438,127.110107,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 송파1동 54-9,다목적,1,300,360도 전방,30,2020-01,02-2147-3090,37.510159,127.108917,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 송파1동 56-1,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.510696,127.107925,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 방이2동 139,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.511868,127.118073,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 잠실본동 220,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.507725,127.080940,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 잠실본동 230,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.506508,127.083366,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 거여1동 7,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.497894,127.142548,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 풍납2동 501-24,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.531879,127.119103,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 마천1동 307-6,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.494518,127.152275,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 마천2동 53,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.500919,127.151650,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 방이1동 220-4,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.510052,127.120926,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 풍납동 490-6,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.534489,127.121719,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 거여1동 16,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.494869,127.142706,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 거여동 21-5,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.493790,127.143250,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 거여동 36-6,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.493057,127.146095,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 거여동 183-5,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.497231,127.147553,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 문정동 145,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.490196,127.135910,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 석촌동 10-6,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.504044,127.097237,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 석촌동 14-12,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.502728,127.098679,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 삼전동 180-3,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.502350,127.096603,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 삼전동 101-12,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.503044,127.093208,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 삼전동 3-4,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.506371,127.089897,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 송파2동 178,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.501377,127.115265,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 가락동 167-3,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.497513,127.135605,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 잠실본동 209-5,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.508625,127.087074,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 문정동 150-5,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.490860,127.113426,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 잠실본동 313-10,다목적,1,200,360도 전방,30,2020-01,02-2147-3090,37.505554,127.083321,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 문정동 150-4,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.491196,127.114494,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 문정2동 150-17,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.490238,127.111435,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 잠실동 294-32,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.506195,127.081177,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 잠실동 196,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.510239,127.078862,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 잠실본동 336-9,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.503317,127.086909,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 잠실동 335-2,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.504883,127.085701,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 잠실본동 184-5,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.511433,127.084770,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 잠실동 40-1,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.511929,127.095238,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 잠실동 35-2,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.510384,127.086166,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 신천동 29,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.513420,127.101395,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 신천동 29-5,교통단속,1,200,360도 전방,30,2020-01,02-2147-3090,37.514458,127.106934,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 잠실동 308,재난재해,1,41,360도 전방,30,2020-01,02-2147-3090,37.503900,127.078800,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 잠실동 308,재난재해,1,41,360도 전방,30,2020-01,02-2147-3090,37.503900,127.078800,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 잠실동 308,재난재해,1,41,360도 전방,30,2020-01,02-2147-3090,37.503900,127.078800,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 신천동 14,재난재해,1,41,360도 전방,30,2020-01,02-2147-3090,37.522420,127.103000,2020-02-28
"서울특별시 송파구청",,서울특별시 송파구 신천동 14,재난재해,1,41,360도 전방,30,2020-01,02-2147-3090,37.522420,127.103000,2020-02-28
