"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 은평구청",없음,진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.6335740000,126.9377720000,2020-01-01
"서울특별시 은평구청",없음,진관동 175 기자촌공원내,기타,3,200,360도 전방면,30,2014-12,02-351-8007,37.6334870000,126.9387430000,2020-01-01
"서울특별시 은평구청",없음,진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.6328500000,126.9387500000,2020-01-01
"서울특별시 은평구청",없음,진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.6328920000,126.9375490000,2020-01-01
"서울특별시 은평구청",없음,진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.6324160000,126.9365120000,2020-01-01
"서울특별시 은평구청",없음,진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.6317320000,126.9349470000,2020-01-01
"서울특별시 은평구청",없음,진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.6345940000,126.9361830000,2020-01-01
"서울특별시 은평구청",없음,진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.6351700000,126.9362710000,2020-01-01
"서울특별시 은평구청",서오릉로20길 15-1,갈현2동 327-21 (갈현동 327-113뒤),기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.6167640000,126.9089740000,2020-01-01
"서울특별시 은평구청",서오릉로20길 15-1,갈현2동 327-21 (갈현동 327-113뒤),기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.6169930000,126.9090070000,2020-01-01
"서울특별시 은평구청",서오릉로17길 5,구산동 340-1 (구산동 341-4옆),기타,3,200,360도 전방면,30,2017-11,02-351-8007,37.6143730000,126.9085690000,2020-01-01
"서울특별시 은평구청",서오릉로17길 5,구산동 340-1 (구산동 341-4옆),기타,3,200,360도 전방면,30,2019-09,02-351-8007,37.6146320000,126.9079740000,2020-01-01
"서울특별시 은평구청",통일로 849,갈현1동 397,기타,1,200,180도,30,2015-12,02-351-8007,37.6187650000,126.9205640000,2020-01-01
"서울특별시 은평구청",통일로 849,갈현1동 397,기타,3,200,360도 전방면,30,2013-12,02-351-8007,37.6188910000,126.9209500000,2020-01-01
"서울특별시 은평구청",없음,갈현1동 416-3,기타,2,200,180도,30,2015-12,02-351-8007,37.6250810000,126.9183650000,2020-01-01
"서울특별시 은평구청",없음,갈현1동 416-3,기타,2,200,180도,30,2015-12,02-351-8007,37.6250640000,126.9186730000,2020-01-01
"서울특별시 은평구청",없음,갈현1동 434-38,기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.6213780000,126.9155990000,2020-01-01
"서울특별시 은평구청",없음,갈현1동 434-38,다목적,1,200,180도,30,2017-12,02-351-6383,37.6213780000,126.9155990000,2020-01-01
"서울특별시 은평구청",없음,갈현1동 434-38,기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.6213780000,126.9155990000,2020-01-01
"서울특별시 은평구청",갈현로41길 7,갈현1동 436-51,기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.6240280000,126.9163200000,2020-01-01
"서울특별시 은평구청",갈현로41길 7,갈현1동 436-51,기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.6238150000,126.9165830000,2020-01-01
"서울특별시 은평구청",갈현로41길 7,갈현1동 436-51,다목적,1,200,180도,30,2017-12,02-351-6383,37.6241060000,126.9164940000,2020-01-01
"서울특별시 은평구청",연서로21길 15,갈현2동 474-1,기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.6146610000,126.9156340000,2020-01-01
"서울특별시 은평구청",연서로21길 15,갈현2동 474-1,다목적,1,200,180도,30,2017-12,02-351-6383,37.6146610000,126.9156340000,2020-01-01
"서울특별시 은평구청",연서로21길 15,갈현2동 474-1,기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.6145500000,126.9159430000,2020-01-01
"서울특별시 은평구청",갈현로25길 11-8,갈현2동 513-1,기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.6173290000,126.9135830000,2020-01-01
"서울특별시 은평구청",갈현로25길 11-8,갈현2동 513-1,다목적,1,200,180도,30,2017-12,02-351-6383,37.6173290000,126.9135830000,2020-01-01
"서울특별시 은평구청",갈현로25길 11-8,갈현2동 513-1,기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.6172810000,126.9130600000,2020-01-01
"서울특별시 은평구청",없음,녹번동 100-85,기타,1,200,360도 전방면,30,2019-09,02-351-8007,37.6042020000,126.9269850000,2020-01-01
"서울특별시 은평구청",없음,녹번동 104-7,기타,2,200,360도 전방면,30,2014-12,02-351-8007,37.6061040000,126.9274700000,2020-01-01
"서울특별시 은평구청",없음,녹번동 153-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.6051350000,126.9236090000,2020-01-01
"서울특별시 은평구청",없음,녹번동 153-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.6056130000,126.9231280000,2020-01-01
"서울특별시 은평구청",없음,녹번동 153-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.6050200000,126.9230260000,2020-01-01
"서울특별시 은평구청",은평로13길 35,녹번동 158-1,기타,1,200,360도 전방면,30,2019-05,02-351-8007,37.6039620000,126.9237650000,2020-01-01
"서울특별시 은평구청",은평로13길 35,녹번동 158-1,기타,1,200,360도 전방면,30,2019-05,02-351-8007,37.6039960000,126.9235850000,2020-01-01
"서울특별시 은평구청",은평로13길 35,녹번동 158-1,다목적,1,200,180도,30,2017-12,02-351-6383,37.6039960000,126.9235850000,2020-01-01
"서울특별시 은평구청",없음,녹번동 85-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.6039860000,126.9275140000,2020-01-01
"서울특별시 은평구청",없음,녹번동 85-1,기타,1,200,180도,30,2016-11,02-351-8007,37.6035650000,126.9270640000,2020-01-01
"서울특별시 은평구청",없음,녹번동 85-1,기타,2,200,360도 전방면,30,2013-12,02-351-8007,37.6039190000,126.9275530000,2020-01-01
"서울특별시 은평구청",없음,녹번동 85-1,다목적,1,200,180도,30,2017-12,02-351-6383,37.6039190000,126.9275530000,2020-01-01
"서울특별시 은평구청",없음,녹번동 95-44,기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.6054980000,126.9309850000,2020-01-01
"서울특별시 은평구청",은평로21길 14-26,녹번동 산28-6,기타,1,200,180도,30,2015-12,02-351-8007,37.6029440000,126.9324030000,2020-01-01
"서울특별시 은평구청",연서로22길 9-30,대조동 212,기타,1,200,180도,30,2019-05,02-351-8007,37.6156360000,126.9200120000,2020-01-01
"서울특별시 은평구청",연서로22길 9-30,대조동 212,기타,1,200,180도,30,2019-05,02-351-8007,37.6155080000,126.9199630000,2020-01-01
"서울특별시 은평구청",연서로22길 9-30,대조동 212,기타,1,200,180도,30,2019-05,02-351-8007,37.6155420000,126.9197510000,2020-01-01
"서울특별시 은평구청",연서로22길 9-30,대조동 212,다목적,1,200,180도,30,2017-12,02-351-6383,37.6155420000,126.9197510000,2020-01-01
"서울특별시 은평구청",불광로9길 15,불광1동 236-5,기타,3,200,360도 전방면,30,2014-12,02-351-8007,37.6163660000,126.9314500000,2020-01-01
"서울특별시 은평구청",없음,불광1동 270-11,기타,3,200,360도 전방면,30,2014-12,02-351-8007,37.6136180000,126.9296430000,2020-01-01
"서울특별시 은평구청",없음,불광1동 339,기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.6197300000,126.9249840000,2020-01-01
"서울특별시 은평구청",없음,불광1동 339,기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.6197300000,126.9249840000,2020-01-01
"서울특별시 은평구청",연서로37가길 10-12,불광2동 444-1,기타,1,200,360도 전방면,30,2019-05,02-351-8007,37.6254210000,126.9263240000,2020-01-01
"서울특별시 은평구청",연서로37가길 10-12,불광2동 444-1,기타,1,200,360도 전방면,30,2019-05,02-351-8007,37.6253580000,126.9261650000,2020-01-01
"서울특별시 은평구청",없음,불광2동 444-15,기타,1,200,180도,30,2019-05,02-351-8007,37.6248730000,126.9272910000,2020-01-01
"서울특별시 은평구청",없음,불광2동 444-15,기타,1,200,180도,30,2019-05,02-351-8007,37.6248730000,126.9272910000,2020-01-01
"서울특별시 은평구청",연서로41가길 30-8,불광2동 448-51,기타,1,200,360도 전방면,30,2019-05,02-351-8007,37.6263860000,126.9254540000,2020-01-01
"서울특별시 은평구청",없음,불광2동 69,기타,2,200,360도 전방면,30,2014-12,02-351-8007,37.6268080000,126.9287110000,2020-01-01
"서울특별시 은평구청",없음,불광1동 산42-5 (불광동 630-26),기타,1,200,360도 전방면,30,2018-07,02-351-8007,37.6115860000,126.9408880000,2020-01-01
"서울특별시 은평구청",없음,불광1동 산42-5,기타,1,200,360도 전방면,30,2018-07,02-351-8007,37.6113770000,126.9400400000,2020-01-01
"서울특별시 은평구청",없음,불광1동 산42-5,기타,1,200,360도 전방면,30,2018-07,02-351-8007,37.6109670000,126.9394630000,2020-01-01
"서울특별시 은평구청",은평터널로 43-45(입구쪽),수색동 산21-1 봉산공원,기타,1,200,180도,30,2015-12,02-351-8007,37.5856130000,126.8968570000,2020-01-01
"서울특별시 은평구청",은평터널로 43-45(공원안쪽),수색동 산21-1 봉산공원,기타,1,200,180도,30,2016-11,02-351-8007,37.5862630000,126.8975760000,2020-01-01
"서울특별시 은평구청",없음,신사2동 237-177,기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.5953960000,126.9047520000,2020-01-01
"서울특별시 은평구청",없음,신사2동 237-177,기타,3,200,360도 전방면,30,2019-05,02-351-8007,37.5955510000,126.9047240000,2020-01-01
"서울특별시 은평구청",없음,신사2동 237-177,기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.5956770000,126.9041420000,2020-01-01
"서울특별시 은평구청",증산로21길 25,신사1동 31-2,기타,3,200,360도 전방면,30,2019-05,02-351-8007,37.5960990000,126.9117080000,2020-01-01
"서울특별시 은평구청",증산로21길 25,신사1동 31-2,기타,1,200,180도,30,2019-05,02-351-8007,37.5959850000,126.9117610000,2020-01-01
"서울특별시 은평구청",증산로21길 25,신사1동 31-2,다목적,1,200,180도,30,2017-12,02-351-6383,37.5959850000,126.9117610000,2020-01-01
"서울특별시 은평구청",은평로3가길 34,신사1동 5-21,기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.5990600000,126.9110840000,2020-01-01
"서울특별시 은평구청",은평로3가길 34,신사1동 5-21,기타,2,200,360도 전방면,30,2019-05,02-351-8007,37.5990530000,126.9112710000,2020-01-01
"서울특별시 은평구청",은평로3가길 34,신사1동 5-21,다목적,1,200,180도,30,2017-12,02-351-6383,37.5990530000,126.9112710000,2020-01-01
"서울특별시 은평구청",없음,신사2동 98-46,기타,1,200,360도 전방면,30,2012-12,02-351-8007,37.5945920000,126.9105520000,2020-01-01
