"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 중구청",서울특별시 중구 손기정로 101 (만리동2가),서울특별시 중구 만리동1가 57-7,생활방범,1,200,회전형,30,2018-02,02-3396-4744,37.5552390,126.9645720,2019-11-21
"서울특별시 중구청",서울특별시 중구 손기정로 101 (만리동2가),서울특별시 중구 만리동2가 6-1,생활방범,1,130,회전형,30,2012-07,02-3396-4744,37.5557580,126.9640830,2019-11-21
"서울특별시 중구청",서울특별시 중구 손기정로 101 (만리동2가),서울특별시 중구 만리동2가 6-1,생활방범,1,200,회전형,30,2018-02,02-3396-4744,37.5553160,126.9643950,2019-11-21
"서울특별시 중구청",서울특별시 중구 손기정로 101 (만리동2가),서울특별시 중구 만리동2가 6-1,생활방범,1,130,회전형,30,2012-07,02-3396-4744,37.5567240,126.9663180,2019-11-21
"서울특별시 중구청",서울특별시 중구 매봉18길 79 (금호동2가),서울특별시 중구 약수동 333-771,생활방범,1,200,회전형,30,2017-04,02-3396-4744,37.5545340,127.0169900,2019-11-21
"서울특별시 중구청",서울특별시 중구 칠패로 27 (순화동),서울특별시 중구 순화동 9-5,생활방범,1,200,회전형,30,2016-12,02-3396-4744,37.5602860,126.9716510,2019-11-21
"서울특별시 중구청",서울특별시 중구 칠패로 27 (순화동),서울특별시 중구 순화동 9-5,생활방범,1,200,회전형,30,2014-01,02-3396-4744,37.5599580,126.9715620,2019-11-21
"서울특별시 중구청",서울특별시 중구 매봉18길 11 (금호동3가),서울특별시 중구 약수동 산55,생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.5503780,127.0136530,2019-11-21
"서울특별시 중구청",서울특별시 중구 매봉18길 11 (금호동3가),서울특별시 중구 약수동 844-10,생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.5487940,127.0103940,2019-11-21
"서울특별시 중구청",서울특별시 중구 매봉18길 11 (금호동3가),서울특별시 중구 약수동 351-104,생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.5449950,127.0081700,2019-11-21
"서울특별시 중구청",서울특별시 중구 정동길 21-8,서울특별시 중구 정동 15-1,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5683770,126.9713410,2019-11-21
"서울특별시 중구청",서울특별시 중구 정동길 21-8,서울특별시 중구 정동 15-1,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5679200,126.9716400,2019-11-21
"서울특별시 중구청",서울특별시 중구 통일로 102 옆,서울특별시 중구 의주로1가 44-2,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5639550,126.9686790,2019-11-21
"서울특별시 중구청",서울특별시 중구 중구 남대문로10길 29 옆,서울특별시 중구 삼각동 118,생활방범,2,200,회전형,30,2018-02,02-3396-4744,37.5682130,126.9848770,2019-11-21
"서울특별시 중구청",서울특별시 중구 을지로 3길 49,서울특별시 중구 다동 51-2,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5681630,126.9808360,2019-11-21
"서울특별시 중구청",서울특별시 중구 을지로 3길 49,서울특별시 중구 다동 51-2,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5680700,126.9806530,2019-11-21
"서울특별시 중구청",서울특별시 중구 퇴계로 303-9 옆,서울특별시 중구 광희동 1가 238,생활방범,2,200,회전형,30,2018-02,02-3396-4744,37.5642870,127.0050030,2019-11-21
"서울특별시 중구청",서울특별시 중구 퇴계로 45길 32-12,서울특별시 중구 충무로5가 21,생활방범,2,200,회전형,30,2018-05,02-3396-4744,37.5638900,127.0001530,2019-11-21
"서울특별시 중구청",서울특별시 중구 퇴계로 45길 32-12,서울특별시 중구 충무로5가 21,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5637810,126.9994480,2019-11-21
"서울특별시 중구청",서울특별시 중구 정동 34-31,서울특별시 중구 정동 34-31,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5642280,126.9727400,2019-11-21
"서울특별시 중구청",서울특별시 중구 동호로 11차길 1 옆,서울특별시 중구 다산동 432-517,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5520990,127.0050810,2019-11-21
"서울특별시 중구청",서울특별시 중구 동호로 11차길 1 옆,서울특별시 중구 다산동 432-517,생활방범,2,200,회전형,30,2016-12,02-3396-4744,37.5521650,127.0048830,2019-11-21
"서울특별시 중구청",서울특별시 중구 동호로 11자길 19 옆,서울특별시 중구 다산동 432-1971,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5511620,127.0057320,2019-11-21
"서울특별시 중구청",서울특별시 중구 다산로14길 47,서울특별시 중구 청구동 340-15,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5558030,127.0140000,2019-11-21
"서울특별시 중구청",서울특별시 중구 다산로14길 47,서울특별시 중구 청구동 340-15,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5555760,127.0137930,2019-11-21
"서울특별시 중구청",서울특별시 중구 난계로 6길 8,서울특별시 중구 신당5동 산12-75,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5624860,127.0245220,2019-11-21
"서울특별시 중구청",서울특별시 중구 난계로 6길 8,서울특별시 중구 신당5동 산12-75,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5625460,127.0249570,2019-11-21
"서울특별시 중구청",서울특별시 중구 난계로 6길 8,서울특별시 중구 신당5동 산12-75,생활방범,2,200,회전형,30,2018-02,02-3396-4744,37.5629130,127.0250510,2019-11-21
"서울특별시 중구청",서울특별시 중구 다산로42나길 12 앞,서울특별시 중구 다산동 122-10,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5636620,127.0184240,2019-11-21
"서울특별시 중구청",서울특별시 중구 다산로42나길 12 앞,서울특별시 중구 다산동 122-10,생활방범,2,200,회전형,30,2018-02,02-3396-4744,37.5638940,127.0189220,2019-11-21
"서울특별시 중구청",서울특별시 중구 다산로33가길 17 앞,서울특별시 중구 신당동 241-26,생활방범,2,200,회전형,30,2016-12,02-3396-4744,37.5633830,127.0142760,2019-11-21
"서울특별시 중구청",서울특별시 중구 동호로 8나길 15,서울특별시 중구 약수동 349-214,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5528190,127.0126040,2019-11-21
"서울특별시 중구청",서울특별시 중구 다산로 24길 23 맞은편,서울특별시 중구 청구동 333-370,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5561290,127.0163580,2019-11-21
"서울특별시 중구청",서울특별시 중구 다산로 24길 23 맞은편,서울특별시 중구 청구동 333-370,생활방범,2,200,회전형,30,2018-04,02-3396-4744,37.5558590,127.0162940,2019-11-21
"서울특별시 중구청",서울특별시 중구 퇴계로 36가길 60 앞,서울특별시 중구 필동 2가 111-2,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5578230,126.9953940,2019-11-21
"서울특별시 중구청",서울특별시 중구 동호로11차길 1 옆,서울특별시 중구 다산동 432-813,생활방범,2,200,회전형,30,2018-02,02-3396-4744,37.5525790,127.0057970,2019-11-21
"서울특별시 중구청",서울특별시 중구 동호로 15길 60 옆,서울특별시 중구 다산동 432-1584,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5542790,127.0085930,2019-11-21
"서울특별시 중구청",서울특별시 중구 서소문로2길 46 위,서울특별시 중구 중림동 1046,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5571910,126.9632490,2019-11-21
"서울특별시 중구청",서울특별시 중구 청구로1길 23,서울특별시 중구 신당동 843,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.5575720,127.0170050,2019-11-21
"서울특별시 중구청",서울특별시 중구 다산로36가길26-14,서울특별시 중구 신당5동57-295,생활방범,3,200,회전형,30,2014-11,02-3396-4744,37.5605853,127.0206778,2019-11-21
"서울특별시 중구청",서울특별시 중구 다산로36길64 114동뒤,서울특별시 중구 동화동45-42,생활방범,3,200,회전형,30,2014-11,02-3396-4744,37.5601740,127.0182560,2019-11-21
"서울특별시 중구청",서울특별시 중구 다산로36길64 114동뒤,서울특별시 중구 동화동45-42,생활방범,3,200,회전형,30,2018-05,02-3396-4744,37.5600580,127.0181570,2019-11-21
"서울특별시 중구청",서울특별시 중구 동호로5길19,서울특별시 중구 약수동309-262,생활방범,3,200,회전형,30,2014-11,02-3396-4744,37.5514990,127.0133510,2019-11-21
"서울특별시 중구청",서울특별시 중구 다산로48길33,서울특별시 중구 황학동 755,생활방범,5,200,회전형,30,2015-12,02-3396-4744,37.5679118,127.0181210,2019-11-21
"서울특별시 중구청",서울특별시 중구 다산로48길33,서울특별시 중구 황학동 755,생활방범,3,200,회전형,30,2015-12,02-3396-4744,37.5674390,127.0179710,2019-11-21
"서울특별시 중구청",서울특별시 중구 신당동294-40,서울특별시 중구 신당동294-40,생활방범,3,200,회전형,30,2015-12,02-3396-4744,37.5599140,127.0139560,2019-11-21
"서울특별시 중구청",서울특별시 중구 태평로1가2-2,서울특별시 중구 태평로1가2-2,생활방범,3,200,회전형,30,2015-12,02-3396-4744,37.5689530,126.9773440,2019-11-21
"서울특별시 중구청",서울특별시 중구 신당동296-15,서울특별시 중구 신당동296-15,생활방범,2,130,회전형,30,2012-07,02-3396-4744,37.5605640,127.0134600,2019-11-21
"서울특별시 중구청",서울특별시 중구 서소문로89-31,서울특별시 중구 순화동 3-12,생활방범,3,200,회전형,30,2016-07,02-3396-4744,37.5635260,126.9712640,2019-11-21
"서울특별시 중구청",서울특별시 중구 서소문로89-31,서울특별시 중구 순화동 3-12,생활방범,3,200,회전형,30,2016-07,02-3396-4744,37.5634220,126.9713150,2019-11-21
"서울특별시 중구청",서울특별시 중구 퇴계로 36가길 60 앞,서울특별시 중구 필동 2가 111-2,생활방범,2,200,고정형,30,2016-06,02-3396-4744,37.5579490,126.9954730,2019-11-21
"서울특별시 중구청",서울특별시 중구 삼일대로 340,서울특별시 중구 저동1가 1-14,생활방범,3,200,회전형,30,2016-12,02-3396-4744,37.5646420,126.9884880,2019-11-21
"서울특별시 중구청",서울특별시 중구 명동길 91-1,서울특별시 중구 저동1가 90-10,생활방범,4,200,회전형,30,2016-12,02-3396-4744,37.5647180,126.9872260,2019-11-21
"서울특별시 중구청",서울특별시 중구 명동길 91-1,서울특별시 중구 저동1가 90-10,생활방범,4,200,회전형,30,2016-12,02-3396-4744,37.5647960,126.9872260,2019-11-21
"서울특별시 중구청",서울특별시 중구 명동길 91-1,서울특별시 중구 저동1가 90-10,생활방범,4,200,회전형,30,2016-12,02-3396-4744,37.5647950,126.9871170,2019-11-21
"서울특별시 중구청",서울특별시 중구 명동길 91-1,서울특별시 중구 저동1가 90-10,생활방범,4,200,회전형,30,2016-12,02-3396-4744,37.5646950,126.9871030,2019-11-21
"서울특별시 중구청",서울특별시 중구 다동길13,서울특별시 중구 다동 45-6,생활방범,4,200,회전형,30,2017-07,02-3396-4744,37.5679860,126.9804210,2019-11-21
"서울특별시 중구청",서울특별시 중구 만리재로 21길 9,서울특별시 중구 만리동2가 218-26,생활방범,3,200,회전형,30,2017-09,02-3396-4744,37.5526090,126.9628710,2019-11-21
"서울특별시 중구청",서울특별시 중구 만리재로 21길 9,서울특별시 중구 만리동2가 218-26,생활방범,3,200,회전형,30,2017-09,02-3396-4744,37.5525730,126.9628360,2019-11-21
"서울특별시 중구청",서울특별시 중구 신당동 837-4,서울특별시 중구 신당동 837-4,생활방범,1,200,고정형,30,2018-09,02-3396-4744,37.5595000,127.0206000,2019-11-21
"서울특별시 중구청",서울특별시 중구 신당동 837-4,서울특별시 중구 신당동 837-4,생활방범,3,200,회전형,30,2018-09,02-3396-4744,37.5593000,127.0208000,2019-11-21
"서울특별시 중구청",서울특별시 중구 신당동 837-4,서울특별시 중구 신당동 837-4,생활방범,2,200,고정형,30,2018-09,02-3396-4744,37.5592500,127.0209000,2019-11-21
"서울특별시 중구청",서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-4,생활방범,2,200,회전형,30,2019-04,02-3396-4744,37.5613320,126.9684140,2019-11-21
"서울특별시 중구청",서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-4,생활방범,1,200,고정형,30,2019-04,02-3396-4744,37.5608250,126.9686270,2019-11-21
"서울특별시 중구청",서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-4,생활방범,2,200,고정형,30,2019-04,02-3396-4744,37.5607600,126.9689480,2019-11-21
"서울특별시 중구청",서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-4,생활방범,2,200,고정형,30,2019-04,02-3396-4744,37.5600060,126.9693420,2019-11-21
"서울특별시 중구청",서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-4,생활방범,2,200,회전형,30,2019-04,02-3396-4744,37.5598940,126.9702830,2019-11-21
"서울특별시 중구청",서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-4,생활방범,2,200,고정형,30,2019-04,02-3396-4744,37.5602070,126.9702680,2019-11-21
"서울특별시 중구청",서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-4,생활방범,1,200,회전형,30,2019-04,02-3396-4744,37.5604090,126.9698890,2019-11-21
"서울특별시 중구청",서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-4,생활방범,2,200,고정형,30,2019-04,02-3396-4744,37.5607330,126.9696800,2019-11-21
"서울특별시 중구청",서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-4,생활방범,2,200,회전형,30,2019-04,02-3396-4744,37.5609490,126.9695560,2019-11-21
"서울특별시 중구청",서울특별시 중구 세종대로 69-14,서울특별시 중구 서소문동 116,생활방범,2,200,회전형,30,2019-06,02-3396-4744,37.5627900,126.9754560,2019-11-21
"서울특별시 중구청",서울특별시 중구 난계로 6길 8,서울특별시 중구 신당5동 산12-75,생활방범,3,200,회전형,30,2019-06,02-3396-4744,37.5626870,127.0247570,2019-11-21
"서울특별시 중구청",서울특별시 중구 남대문로1길 16 (북창동),서울특별시 중구 북창동 118,생활방범,1,200,회전형,30,2015-12,02-3396-4744,37.5618150,126.9774790,2019-11-21
"서울특별시 중구청",서울특별시 중구 을지로 35 (을지로1가),서울특별시 중구 을지로1가 101-1,생활방범,1,200,회전형,30,2016-12,02-3396-4744,37.5666700,126.9815520,2019-11-21
"서울특별시 중구청",서울특별시 중구 소공로 109 (소공동),서울특별시 중구 소공동 110-1,생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.5638700,126.9779450,2019-11-21
"서울특별시 중구청",서울특별시 중구 다동길 43 (다동),서울특별시 중구 다동 70,생활방범,1,200,회전형,30,2016-12,02-3396-4744,37.5679810,126.9813640,2019-11-21
"서울특별시 중구청",서울특별시 중구 세종대로 74 (태평로2가),서울특별시 중구 태평로2가 69-5,생활방범,1,200,회전형,30,2016-12,02-3396-4744,37.5626860,126.9766380,2019-11-21
"서울특별시 중구청",서울특별시 중구 남대문로9길 39 (을지로1가),서울특별시 중구 을지로1가 42,생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.5667910,126.9798980,2019-11-21
"서울특별시 중구청",서울특별시 중구 무교로 32 (무교동),서울특별시 중구 무교동 1,생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.5688810,126.9794320,2019-11-21
"서울특별시 중구청",서울특별시 중구 남대문로1길 42 (북창동),서울특별시 중구 북창동 18-9,생활방범,1,200,회전형,30,2015-12,02-3396-4744,37.5629350,126.9773380,2019-11-21
"서울특별시 중구청",서울특별시 중구 다동길 27 (다동),서울특별시 중구 다동 53-8,생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.5678050,126.9809250,2019-11-21
"서울특별시 중구청",서울특별시 중구 무교로 6 (을지로1가),서울특별시 중구 을지로1가 16,생활방범,1,200,회전형,30,2014-11,02-3396-4744,37.5661680,126.9792570,2019-11-21
"서울특별시 중구청",서울특별시 중구 세종대로 136 (무교동),서울특별시 중구 태평로1가 84,생활방범,1,130,회전형,30,2012-06,02-3396-4744,37.5690000,126.9774150,2019-11-21
"서울특별시 중구청",서울특별시 중구 남대문로 73 (소공동),서울특별시 중구 소공동 7,생활방범,1,200,회전형,30,2014-11,02-3396-4744,37.5638020,126.9818820,2019-11-21
"서울특별시 중구청",서울특별시 중구 남대문로 39 (남대문로3가),서울특별시 중구 남대문로3가 110,생활방범,1,200,회전형,30,2016-12,02-3396-4744,37.5613780,126.9791250,2019-11-21
"서울특별시 중구청",서울특별시 중구 남대문로9길 6 (다동),서울특별시 중구 다동 155,생활방범,3,200,회전형,30,2018-10,02-3396-4744,37.5673080,126.9805440,2019-11-21
"서울특별시 중구청",서울특별시 중구 남대문로25-13,서울특별시 중구 북창동 110-2,생활방범,5,200,회전형,30,2015-12,02-3396-4744,37.5618610,126.9782570,2019-11-21
