"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로27길 42,서울특별시 중랑구 중화1동 21-9,생활방범,4,200,0,30,2008-01,02-2094-0284,37.6035194,127.0829697,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로30길 19,서울특별시 중랑구 중화1동 126,생활방범,1,200,0,30,2008-01,02-2094-0284,37.60107825,127.0853121,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 상봉중앙로9길 20,서울특별시 중랑구 중화1동 9-3,생활방범,2,200,0,30,2008-08,02-2094-0284,37.60183162,127.0861195,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 동일로140길 16,서울특별시 중랑구 중화1동 281-1,생활방범,4,200,0,30,2009-03,02-2094-0284,37.604227,127.0803417,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로26길 28,서울특별시 중랑구 중화1동 148-48,생활방범,4,200,0,30,2009-09,02-2094-0284,37.60065842,127.0837479,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 동일로126길 18,서울특별시 중랑구 중화1동 295-41,생활방범,1,200,0,30,2009-09,02-2094-0284,37.59883499,127.0812988,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로24길 9-8,서울특별시 중랑구 중화1동 148,생활방범,3,200,0,30,2010-03,02-2094-0284,37.6007576,127.0824661,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 동일로138길 10,서울특별시 중랑구 중화1동 285-9,생활방범,4,200,0,30,2010-03,02-2094-0284,37.60316849,127.0798798,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로21길 15,서울특별시 중랑구 중화1동 86-9,생활방범,1,200,0,30,2010-03,02-2094-0284,37.60238266,127.0819168,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로26길 62,서울특별시 중랑구 중화1동 178-97,생활방범,4,200,0,30,2010-03,02-2094-0284,37.59902573,127.0837021,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 동일로144가길 25-20,서울특별시 중랑구 중화1동 274-49,생활방범,3,200,0,30,2010-03,02-2094-0284,37.60666275,127.0817947,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로35길 22,서울특별시 중랑구 중화1동 445-1,생활방범,4,200,0,30,2010-03,02-2094-0284,37.6036644,127.0857315,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로21길 28,서울특별시 중랑구 중화1동 29-10,생활방범,4,200,0,30,2014-08,02-2094-0284,37.6030389,127.0819989,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로19길 5,서울특별시 중랑구 중화1동 103-5,생활방범,3,200,0,30,2015-02,02-2094-0284,37.60204315,127.0811462,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로24길 10,서울특별시 중랑구 중화1동 145-1,생활방범,2,200,0,30,2015-02,02-2094-0284,37.60137859,127.0833063,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 동일로140길 19-12,서울특별시 중랑구 중화1동 279-22,생활방범,2,200,0,30,2015-02,02-2094-0284,37.60486065,127.0802276,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로30길 7,서울특별시 중랑구 중화1동 122-7,생활방범,3,200,0,30,2015-02,02-2094-0284,37.6019516,127.0851135,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 동일로124길 11,서울특별시 중랑구 중화1동 295-18,생활방범,1,200,0,30,2015-12,02-2094-0284,37.59827423,127.0809097,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 동일로136가길 28,서울특별시 중랑구 중화1동 33-2,생활방범,2,200,0,30,2015-12,02-2094-0284,37.60346985,127.0817795,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로30길 62,서울특별시 중랑구 중화1동 154-5,생활방범,1,200,0,30,2015-12,02-2094-0284,37.59960556,127.0850983,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 동일로124길74,서울특별시 중랑구 중화1동 291-43,생활방범,2,200,0,30,2015-12,02-2094-0284,37.59972382,127.082901,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 동일로144가길 28,서울특별시 중랑구 중화1동 275-16,생활방범,4,200,0,30,2016-12,02-2094-0284,37.60568237,127.0819016,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로27가길 27,서울특별시 중랑구 중화1동 11-82,생활방범,2,200,0,30,2016-12,02-2094-0284,37.60292435,127.0847015,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로27가길 13,서울특별시 중랑구 중화1동 13-4,생활방범,2,200,0,30,2016-12,02-2094-0284,37.60297394,127.0841751,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로20길 7-15,서울특별시 중랑구 중화1동 110-70,생활방범,3,200,0,30,2016-12,02-2094-0284,37.60070038,127.0819244,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 동일로136가길 9,서울특별시 중랑구 중화1동 37-6,생활방범,3,200,0,30,2016-12,02-2094-0284,37.60287094,127.0810547,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 상봉중앙로5길 50,서울특별시 중랑구 중화1동 135-18,생활방범,2,200,0,30,2017-12,02-2094-0284,37.60045242,127.0845947,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 동일로130길 10,서울특별시 중랑구 중화1동 293-17,생활방범,3,200,0,30,2017-12,02-2094-0284,37.5995903,127.0805511,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로27길 55,서울특별시 중랑구 중화1동 34-1,생활방범,3,200,0,30,2017-12,02-2094-0284,37.60407257,127.0824585,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 중랑역로15길 24,서울특별시 중랑구 중화2동 317-42,생활방범,1,200,0,30,2008-01,02-2094-0284,37.59770203,127.0747986,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 중랑역로3나길 39,서울특별시 중랑구 중화2동 322-16,생활방범,3,200,0,30,2008-01,02-2094-0284,37.5963009,127.0738948,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 중랑천로15길 17,서울특별시 중랑구 중화2동 412-2,생활방범,3,200,0,30,2008-01,02-2094-0284,37.59506989,127.071022,2020-05-06
"서울특별시 중랑구청",서울특별시 중랑구 동일로 831-3,서울특별시 중랑구 중화2동 307-4,생활방범,3,200,0,30,2008-01,02-2094-0284,37.60438156,127.0781479,2020-05-06
