청,서,지구대파출소,X좌표,Y좌표,주소
강원청,강릉경찰서,강동파출소,128.9783,37.7277596,강원도 강릉시 강동면 안인리 764-1
강원청,강릉경찰서,강릉경찰서,128.9067625,37.7687,강릉시 포남동 1113
강원청,강릉경찰서,남부지구대,128.897125,37.74896794,강릉시 노암동 715-16
강원청,강릉경찰서,동부지구대,128.9263153,37.77403156,강릉시 송정동 740-3
강원청,강릉경찰서,북부지구대,128.8752375,37.8352654,강릉시 주문진읍 주문리 312-7
강원청,강릉경찰서,서부지구대,128.8755,37.76983333,강릉시 교1동 1814-4
강원청,강릉경찰서,옥계파출소,129.0384084,37.61250124,강원도 강릉시 옥계면 현내리 326-2
강원청,강릉경찰서,중부지구대,128.9002295,37.76349789,강릉시 교2동 133-3
강원청,강원원주경찰서,치악지구대,127.9866161,37.32898854,강원 원주시 반곡동 1924-1
강원청,고성경찰서,간성파출소,128.4713,38.3789154,강원 고성군 간성읍 신안리 248-2
강원청,고성경찰서,고성경찰서,128.4758125,38.3771404,고성군 간성읍 신안리 134-2
강원청,고성경찰서,금강파출소,128.4571767,38.44928014,강원 고성군 거진읍 거진 4리 160-1
강원청,고성경찰서,죽왕파출소,128.5263875,38.32593333,강원도 고성군 죽왕면 오호리 64-3
강원청,고성경찰서,토성파출소,128.5569583,38.25896052,강원 고성군 토성면 천진리 140
강원청,동해경찰서,동해경찰서,129.1164933,37.52504522,동해시 나안동 156-7
강원청,동해경찰서,묵호지구대,129.1070912,37.55052728,강원도 동해시 묵호진동 239-2
강원청,동해경찰서,북삼지구대,129.107017,37.48960136,강원도 동해시 동회동 110-1
강원청,동해경찰서,북평파출소,129.1265414,37.48357848,강원도 동해시 북평동 10-4
강원청,동해경찰서,천곡지구대,129.1070305,37.5248654,강원도 동해시 천곡동 1080-1
강원청,삼척경찰서,근덕파출소,129.225587,37.380732,삼척시 근덕면 교가리 656-4
강원청,삼척경찰서,도계파출소,129.0453819,37.23265731,삼척시 도계읍 도계리 262-3
강원청,삼척경찰서,미로파출소,129.1130573,37.41787878,삼척시 미로면 하거노리 215-1
강원청,삼척경찰서,삼척경찰서,129.1740005,37.44634488,삼척시 정상동 472
강원청,삼척경찰서,성내파출소,129.1641266,37.44333471,삼척시 남양동 34-8
강원청,삼척경찰서,원덕파출소,129.3376948,37.17494194,삼척시 원덕읍 호산리256-2
강원청,삼척경찰서,임원파출소,129.343375,37.2327596,삼척시 원덕읍 임원리 345-2
강원청,삼척경찰서,정라지구대,129.1867996,37.43741097,삼척시 정하동 187-27
강원청,삼척경찰서,하장파출소,128.9444625,37.3474654,삼척시 하장면 광동리 80-9
강원청,속초경찰서,강현파출소,128.607888,38.149249,양양군 강현면 정암리 448-46
강원청,속초경찰서,서면파출소,128.5857141,38.07157138,강원도 양양군 서면 상평리 35-1
강원청,속초경찰서,속초경찰서,128.568795,38.19687458,속초시 노학동 3-6
강원청,속초경찰서,양양지구대,128.6190815,38.07452551,양양군 양양읍 군행리5-1
강원청,속초경찰서,영랑지구대,128.5805303,38.19816223,속초시 교동 668-29
강원청,속초경찰서,청초지구대,128.586238,38.189776,속초시 조양동 1005-5
강원청,속초경찰서,현남파출소,128.759875,37.96964294,양양군 현남면 인구리16
강원청,속초경찰서,현북파출소,128.723187,38.019667,양양군 현북면 하광정리 125-1
강원청,양구경찰서,남면파출소,128.0339365,38.10804682,양구군 남면 용하리 414-24
강원청,양구경찰서,동면파출소,128.043825,38.20146794,양구군 동면 임당리 584-2 1/5
강원청,양구경찰서,방산파출소,127.9521375,38.20772627,양구군 방산면 장평리 344
강원청,양구경찰서,상리파출소,127.9862125,38.1053154,양구군 양구읍 상리 537-6 1/9
강원청,양구경찰서,양구경찰서,127.9910114,38.10552055,양구군 양구읍 상리 256
강원청,양구경찰서,해안파출소,128.137625,38.28553333,양구군 해안면 현리 159 1/4
강원청,영월경찰서,김삿갓파출소,128.5705789,37.12893212,강원 영월군 김삿갓면 옥동리1
강원청,영월경찰서,남면파출소,128.3992125,37.1858596,강원 영월군 남면 연당리875
강원청,영월경찰서,영월경찰서,128.4673845,37.18461576,영원군 영월읍 영흥2리 947-1
강원청,영월경찰서,영월지구대,128.4723757,37.18361131,강원 영월군 영월읍 영흥리845-5
강원청,영월경찰서,주천파출소,128.26725,37.27021667,강원 영월군 주천면 주천리1235
강원청,영월경찰서,중동파출소,128.6805544,37.14554871,강원 영월군 중동면 녹전리412
강원청,영월경찰서,한반도파출소,128.327775,37.2371846,강원 영월군 한반도면 신천리281-3
강원청,원주경찰서,단계지구대,127.9344625,37.35228206,원주시 단계동 1085-4
강원청,원주경찰서,단관지구대,127.961375,37.331075,원주시 단구동 200-10
강원청,원주경찰서,문막파출소,127.8169375,37.3117,원주시 문막읍 건등리 1717-6
강원청,원주경찰서,봉산지구대,127.95105,37.36380706,원주시 태장1동 1348-132
강원청,원주경찰서,부론파출소,127.7499938,37.20933851,원주시 부론면 법천리 1499
강원청,원주경찰서,북원지구대,127.9418244,37.37388005,원주시 우산동 411-23
강원청,원주경찰서,원주경찰서,127.9582565,37.34827365,원주시 봉산동 1105
강원청,원주경찰서,중앙지구대,127.9513,37.349115,원주시 학성동 329-15
