"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"개포동660-37",1,,서울특별시 강남구 개포동660-37,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-37",1,,서울특별시 강남구 개포동660-37,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-37",1,,서울특별시 강남구 개포동660-37,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-37",1,,서울특별시 강남구 개포동660-37,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-37",1,,서울특별시 강남구 개포동660-37,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-37",1,,서울특별시 강남구 개포동660-37,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-37",1,,서울특별시 강남구 개포동660-37,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-37",1,,서울특별시 강남구 개포동660-37,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-37",1,,서울특별시 강남구 개포동660-37,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-37",1,,서울특별시 강남구 개포동660-37,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동141",1,,서울특별시 강남구 개포동141,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-12",1,,서울특별시 강남구 개포동660-12,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-12",1,,서울특별시 강남구 개포동660-12,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-12",1,,서울특별시 강남구 개포동660-12,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-12",1,,서울특별시 강남구 개포동660-12,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-12",1,,서울특별시 강남구 개포동660-12,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-12",1,,서울특별시 강남구 개포동660-12,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-12",1,,서울특별시 강남구 개포동660-12,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-12",1,,서울특별시 강남구 개포동660-12,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-12",1,,서울특별시 강남구 개포동660-12,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-12",1,,서울특별시 강남구 개포동660-12,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-21",1,,서울특별시 강남구 개포동660-21,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-20",1,,서울특별시 강남구 개포동660-20,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-17",1,,서울특별시 강남구 개포동660-17,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-24",1,,서울특별시 강남구 개포동660-24,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
"개포동660-13",1,,서울특별시 강남구 개포동660-13,,,,,02-3423-6583,서울특별시 강남구청,2019-08-16
