"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"강일동067",1,서울특별시 강동구 아리수로93가길,서울특별시 강동구 강일동137-8,37.576006,127.1692405,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동068",1,서울특별시 강동구 아리수로93가길,서울특별시 강동구 강일동137-3,37.5761495,127.169137,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동069",1,서울특별시 강동구 아리수로93가길 223,서울특별시 강동구 강일동139,37.5761756,127.1687996,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동070",1,서울특별시 강동구 아리수로93가길,서울특별시 강동구 강일동26-3,37.5768404,127.1687218,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동071",1,서울특별시 강동구 아리수로93가길,서울특별시 강동구 강일동20,37.5769045,127.1688682,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동072",1,서울특별시 강동구 아리수로93가길,서울특별시 강동구 강일동20,37.5769684,127.168992,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동073",1,서울특별시 강동구 아리수로93가길,서울특별시 강동구 강일동20,37.577032,127.1690706,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동074",1,서울특별시 강동구 아리수로93가길,서울특별시 강동구 강일동20,37.5771327,127.1692959,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동075",1,서울특별시 강동구 아리수로93가길 234-18,서울특별시 강동구 강일동21,37.57742879,127.1690129,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동076",1,서울특별시 강동구 아리수로93가길 240-2,서울특별시 강동구 강일동19,37.57720565,127.1687996,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동077",1,서울특별시 강동구 아리수로93가길 248-3,서울특별시 강동구 강일동17-6,37.5773523,127.1683826,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동078",1,서울특별시 강동구 아리수로93가길 248-21,서울특별시 강동구 강일동17-7,37.5774071,127.1685909,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동079",1,서울특별시 강동구 아리수로93가길 248-35,서울특별시 강동구 강일동17-10,37.5775949,127.1686900,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동080",1,서울특별시 강동구 아리수로93가길 234-18,서울특별시 강동구 강일동21,37.57742879,127.1690753,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동081",1,서울특별시 강동구 아리수로93가길 248-11,서울특별시 강동구 강일동17-8,37.5774349,127.1682299,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동082",1,서울특별시 강동구 강일동,서울특별시 강동구 강일동13,37.5779356,127.1694342,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동083",1,서울특별시 강동구 아리수로93가길,서울특별시 강동구 강일동145-2,37.57702685,127.167812,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동084",1,서울특별시 강동구 아리수로93가길 250-4,서울특별시 강동구 강일동17-14,37.5773664,127.1680714,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동085",1,서울특별시 강동구 아리수로93가길 250-4,서울특별시 강동구 강일동17-14,37.5773664,127.1680959,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동086",1,서울특별시 강동구 아리수로93가길,서울특별시 강동구 강일동145-2,37.57702685,127.167812,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동087",1,서울특별시 강동구 아리수로93가길 250-8,서울특별시 강동구 강일동145,37.5772438,127.1677044,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동088",1,서울특별시 강동구 아리수로93가길,서울특별시 강동구 강일동145-2,37.5770698,127.167812,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동089",1,서울특별시 강동구 아리수로93가길,서울특별시 강동구 강일동143-1,37.57687168,127.167942,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동090",1,서울특별시 강동구 아리수로93가길,서울특별시 강동구 강일동141-3,37.5768096,127.1680742,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동091",1,서울특별시 강동구 아리수로93가길 245,서울특별시 강동구 강일동141-2,37.5769109,127.1682963,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동092",1,서울특별시 강동구 아리수로93가길 245,서울특별시 강동구 강일동145-2,37.57694688,127.1682963,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동093",1,서울특별시 강동구 아리수로93가길,서울특별시 강동구 강일동143-3,37.57655879,127.167494,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동094",1,서울특별시 강동구 아리수로93가길 263,서울특별시 강동구 강일동143-2,37.5765186,127.1676672,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동095",1,서울특별시 강동구 아리수로93가길 272,서울특별시 강동구 강일동144-5,37.5766653,127.1670633,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동096",1,서울특별시 강동구 아리수로93가길,서울특별시 강동구 강일동152,37.5762234,127.166838,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동097",1,서울특별시 강동구 강일동,서울특별시 강동구 강일동153,37.575986,127.1663991,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동098",1,서울특별시 강동구 아리수로93가길 314,서울특별시 강동구 강일동154,37.5754571,127.1651624,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동099",1,서울특별시 강동구 아리수로93가길 314,서울특별시 강동구 강일동154,37.5754558,127.1651624,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동100",1,서울특별시 강동구 강일동,서울특별시 강동구 강일동155,37.5752099,127.1649473,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동101",1,서울특별시 강동구 아리수로93가길,서울특별시 강동구 강일동155-13,37.5749828,127.1646894,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동102",1,서울특별시 강동구 아리수로93가길,서울특별시 강동구 강일동156-2,37.574756,127.1644656,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동103",1,서울특별시 강동구 풍산로,서울특별시 강동구 강일동순환도로하부,37.574289,127.1646972,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동104",1,서울특별시 강동구 풍산로,서울특별시 강동구 강일동순환도로하부,37.5741716,127.1646532,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동105",1,서울특별시 강동구 풍산로,서울특별시 강동구 강일동순환도로하부,37.5740434,127.1643603,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동106",1,서울특별시 강동구 아리수로98길,서울특별시 강동구 강일동순환도로하부,37.5739794,127.1642365,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동107",1,서울특별시 강동구 풍산로,서울특별시 강동구 강일동순환도로하부,37.5743235,127.1644704,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동108",1,서울특별시 강동구 풍산로,서울특별시 강동구 강일동순환도로하부,37.5743041,127.1642781,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동109",1,서울특별시 강동구 풍산로,서울특별시 강동구 강일동순환도로하부,37.5746471,127.1643649,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동110",1,서울특별시 강동구 풍산로,서울특별시 강동구 강일동순환도로하부,37.574610,127.1642068,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동111",1,서울특별시 강동구 풍산로,서울특별시 강동구 강일동순환도로하부,37.5744273,127.1638579,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동112",1,서울특별시 강동구 강일동,서울특별시 강동구 강일동순환도로하부,37.5742488,127.1640976,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동113",1,서울특별시 강동구 풍산로,서울특별시 강동구 강일동80-12,37.5728166,127.1616231,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동114",1,서울특별시 강동구 풍산로,서울특별시 강동구 강일동369,37.5714974,127.158570,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동115",1,서울특별시 강동구 풍산로,서울특별시 강동구 강일동367,37.5709574,127.1586666,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동116",1,서울특별시 강동구 아리수로93가길,서울특별시 강동구 강일동167-11,37.5759327,127.1690601,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동122",1,서울특별시 강동구 아리수로93가길223,서울특별시 강동구 강일동167,37.5761901,127.1687996,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"강일동123",1,서울특별시 강동구,서울특별시 강동구 강일동148-10,37.5772613,127.1683661,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동001",1,서울특별시 강동구 동남로83길 94,서울특별시 강동구 고덕1동648,37.5592867,127.1518432,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동002",1,서울특별시 강동구 동남로83길 83,서울특별시 강동구 고덕1동648,37.5591292,127.1523984,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동003",1,서울특별시 강동구 동남로83길 81,서울특별시 강동구 고덕1동648,37.5591778,127.1525077,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동004",1,서울특별시 강동구 동남로83길 77,서울특별시 강동구 고덕1동648,37.5592751,127.1526345,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동005",1,서울특별시 강동구 동남로83길 73,서울특별시 강동구 고덕1동648,37.5594038,127.152865,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동006",1,서울특별시 강동구 동남로83길 71,서울특별시 강동구 고덕1동648,37.5594732,127.1529759,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동007",1,서울특별시 강동구 동남로83길 67,서울특별시 강동구 고덕1동642,37.5595021,127.1531678,,건축물,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동008",1,서울특별시 강동구 동남로83길 66,서울특별시 강동구 고덕1동639-2,37.5598003,127.1531555,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동009",1,서울특별시 강동구 동남로83길 62,서울특별시 강동구 고덕1동641,37.5598735,127.1533531,,전용주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동010",1,서울특별시 강동구 동남로83길 58,서울특별시 강동구 고덕1동641-2,37.5600068,127.153517,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동011",1,서울특별시 강동구 동남로83길 50,서울특별시 강동구 고덕1동637-3,37.5601661,127.1539535,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동012",1,서울특별시 강동구 동남로83길 49,서울특별시 강동구 고덕1동642-8,37.5600042,127.1541149,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동013",1,서울특별시 강동구 동남로81길 50,서울특별시 강동구 고덕1동643-5,37.5598708,127.1541678,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동014",1,서울특별시 강동구 동남로83길 56-7,서울특별시 강동구 고덕1동640-1,37.5600907,127.153413,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동015",1,서울특별시 강동구 동남로83길 56-10,서울특별시 강동구 고덕1동638-5,37.5603267,127.1534553,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동016",1,서울특별시 강동구 동남로83길 56-18,서울특별시 강동구 고덕1동638-2,37.5602028,127.1529016,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동017",1,서울특별시 강동구 동남로83길 68-8,서울특별시 강동구 고덕1동648,37.5600174,127.1531173,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동018",1,서울특별시 강동구 아리수로62길 40,서울특별시 강동구 고덕1동652-5,37.5601274,127.1523628,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
"고덕1동019",1,서울특별시 강동구 고덕로61길 118-11,서울특별시 강동구 고덕1동652-3,37.5601215,127.1520428,,한전주,02-3425-6373,서울특별시 강동구청,2019-05-17
