"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"서울특별시 강북구 미아동 791-1269",1,서울특별시 강북구 삼양로59가길 28-5,서울특별시 강북구 미아동 791-1269,37.6268652331,127.0165345757,2000,전용주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 862-6",1,서울특별시 강북구 솔매로31길 17-3,서울특별시 강북구 미아동 862-6,37.6255635505,,2000,건축물,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 745-3",1,서울특별시 강북구 솔샘로43길 12,서울특별시 강북구 미아동 745-3,37.6206628376,127.0165332020,2000,건축물,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 1354-8",1,서울특별시 강북구 벽산뒤길115동,서울특별시 강북구 미아동 1354-8,37.6224868529,,2000,전용주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 791-2801",1,서울특별시 강북구 솔매로22길 50,서울특별시 강북구 미아동 791-2801,37.6240471352,,2000,건축물,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 791-1030",1,서울특별시 강북구 삼양로69길 23,서울특별시 강북구 미아동 791-1030,37.6282274987,,2000,한전주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 791-1208",1,서울특별시 강북구 삼양로59가길 8-10,서울특별시 강북구 미아동 791-1208,37.6267607060,,2000,건축물,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 791-171",1,서울특별시 강북구 삼양로68길 3-2,서울특별시 강북구 미아동 791-171,37.6288804791,,2000,건축물,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 791-1277",1,서울특별시 강북구 삼양로59가길 16,서울특별시 강북구 미아동 791-1277,37.6265589242,,2000,한전주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 791-1572",1,서울특별시 강북구 솔매로 22,서울특별시 강북구 미아동 791-1572,37.6251247616,,2000,한전주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 791-2787",1,서울특별시 강북구 인수봉로6길 32,서울특별시 강북구 미아동 791-2787,37.6218127462,,2000,한전주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 233-39",1,서울특별시 강북구 도봉로53가길 17-6,서울특별시 강북구 미아동 233-39,37.6273582218,127.0212336348,2000,건축물,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 91-4",1,서울특별시 강북구 오현로6길 4,서울특별시 강북구 미아동 91-4,37.6162808062,127.0321809922,2000,한전주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 133-72",1,서울특별시 강북구 도봉로28가길 6,서울특별시 강북구 미아동 133-72,37.6213372968,127.0316394605,2000,한전주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 75-137",1,서울특별시 강북구 도봉로10다길 7-8,서울특별시 강북구 미아동 75-137,37.6148394421,,2000,한전주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 135-43",1,서울특별시 강북구 도봉로28길 24,서울특별시 강북구 미아동 135-43,37.6206097227,127.0300170963,2000,건축물,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 77-51",1,서울특별시 강북구 오패산로37길 11,서울특별시 강북구 미아동 77-51,37.6151345176,,2000,한전주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 139-94",1,서울특별시 강북구 도봉로18나길 14,서울특별시 강북구 미아동 139-94,37.6188900946,127.0320824397,2000,한전주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 54-50",1,서울특별시 강북구 도봉로10나길 9-6,서울특별시 강북구 미아동 54-50,37.6138988713,127.0311424869,2000,전용주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 132-16",1,서울특별시 강북구 도봉로34길 14,서울특별시 강북구 미아동 132-16,37.6218893998,,2000,건축물,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 84-61",1,서울특별시 강북구 오패산로38길 17-5,서울특별시 강북구 미아동 84-61,37.6155712321,,2000,건축물,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 136-120",1,서울특별시 강북구 도봉로28길 56-5,서울특별시 강북구 미아동 136-120,37.6208615242,,2000,건축물,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 49-12",1,서울특별시 강북구 월계로41-4,서울특별시 강북구 미아동 49-12,37.6114840499,,2000,건축물,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 3-158",1,서울특별시 강북구 오현로9길 67,서울특별시 강북구 미아동 3-158,37.6196754361,127.0332381377,2000,한전주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 8-354",1,서울특별시 강북구 월계로21나길 25-9,서울특별시 강북구 미아동 8-354,37.6156161027,,2000,건축물,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 8-415",1,서울특별시 강북구 월계로 57-10,서울특별시 강북구 미아동 8-415,37.6125532725,,2000,건축물,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 3-796",1,서울특별시 강북구 오현로9나길 31,서울특별시 강북구 미아동 3-796,37.6188248269,127.0345560108,2000,건축물,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 54-12",1,서울특별시 강북구 월계로7나길 24-22,서울특별시 강북구 미아동 54-12,37.6135850055,127.0323383965,2000,한전주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 258-217",1,서울특별시 강북구 오패산로52라길 56,서울특별시 강북구 미아동 258-217,37.6228324692,127.0333346947,2000,한전주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 3-414",1,서울특별시 강북구 오현로9가길 12,서울특별시 강북구 미아동 3-414,37.6173771920,127.0346487433,2000,건축물,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 791-3233",1,서울특별시 강북구 솔매로22가길 62,서울특별시 강북구 미아동 791-3233,37.6238021041,,2000,한전주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 837-687",1,서울특별시 강북구,서울특별시 강북구 미아동 837-687,37.6209499660,,2000,건축물,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 791-1419",1,서울특별시 강북구 솔매로17길 27-6,서울특별시 강북구 미아동 791-1419,37.6262094646,,2000,건축물,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 745-13",1,서울특별시 강북구 솔샘로43길 3,서울특별시 강북구 미아동 745-13,37.6203529268,,2000,한전주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 791-2653",1,서울특별시 강북구 삼양로58길 34,서울특별시 강북구 미아동 791-2653,37.6265078702,,2000,한전주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 791-1413",1,서울특별시 강북구 솔매로17길 33,서울특별시 강북구 미아동 791-1413,37.6264041129,127.0151569784,2000,한전주,02-901-5863,서울특별시 강북구청,2019-05-21
"서울특별시 강북구 미아동 791-2370",1,서울특별시 강북구 삼양로60가길 15-7,서울특별시 강북구 미아동 791-2370,37.6273298952,,2000,한전주,02-901-5863,서울특별시 강북구청,2019-05-21
