"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
1,1,,서울특별시 강서구 공항동 444-3,37.541282,126.811395,2013,한전주,02-2600-6407,서울특별시 강서구청,2019-12-18
2,1,,서울특별시 강서구 공항동 444-3,37.541066,126.811767,2013,한전주,02-2600-6407,서울특별시 강서구청,2019-12-18
3,1,,서울특별시 강서구 공항동 444-3,37.540857,126.812187,2013,한전주,02-2600-6407,서울특별시 강서구청,2019-12-18
4,1,,서울특별시 강서구 공항동 444-3,37.540755,126.812472,2013,한전주,02-2600-6407,서울특별시 강서구청,2019-12-18
5,1,,서울특별시 강서구 공항동 444-3,37.540741,126.812864,2013,한전주,02-2600-6407,서울특별시 강서구청,2019-12-18
6,1,,서울특별시 강서구 공항동 444-3,37.540713,126.813208,2013,한전주,02-2600-6407,서울특별시 강서구청,2019-12-18
7,1,,서울특별시 강서구 공항동 444-3,37.540693,126.813996,2013,한전주,02-2600-6407,서울특별시 강서구청,2019-12-18
8,1,,서울특별시 강서구 공항동 444-3,37.540689,126.814406,2013,한전주,02-2600-6407,서울특별시 강서구청,2019-12-18
9,1,,서울특별시 강서구 공항동 444-3,37.540684,126.814735,2013,한전주,02-2600-6407,서울특별시 강서구청,2019-12-18
"가양1동001",1,,서울특별시 강서구 가양동 1456-11,37.572639,126.841702,2013,한전주,02-2600-6407,서울특별시 강서구청,2019-12-18
"가양1동002",1,서울특별시 강서구 강서로 521,서울특별시 강서구 가양동 1457,37.571938,126.841504,2013,한전주,02-2600-6407,서울특별시 강서구청,2019-12-18
"가양1동003",1,서울특별시 강서구 강서로 521,서울특별시 강서구 가양동 1457,37.572326,126.841488,2013,한전주,02-2600-6407,서울특별시 강서구청,2019-12-18
"가양1동004",1,서울특별시 강서구 강서로 519-42,서울특별시 강서구 가양동 225-1,37.571836,126.841092,2013,한전주,02-2600-6407,서울특별시 강서구청,2019-12-18
"가양1동005",1,서울특별시 강서구 강서로 519-17,서울특별시 강서구 가양동 198-5,37.571719,126.840866,2013,한전주,02-2600-6407,서울특별시 강서구청,2019-12-18
"가양1동006",1,서울특별시 강서구 양천로49길 56-2,서울특별시 강서구 가양동 195-1,37.571546,126.840702,2013,한전주,02-2600-6407,서울특별시 강서구청,2019-12-18
"가양1동007",1,서울특별시 강서구 강서로 519-54,서울특별시 강서구 가양동 231-9,37.571457,126.840546,2013,한전주,02-2600-6407,서울특별시 강서구청,2019-12-18
"가양1동008",1,서울특별시 강서구 양천로49길 56-13,서울특별시 강서구 가양동 238-1,37.571810,126.840417,2013,한전주,02-2600-6407,서울특별시 강서구청,2019-12-18
