"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
149182318,1,서울특별시 관악구 봉천로 172,서울특별시 관악구 신림동 1446-18,37.4895909,126.920663,,,02-879-6781,관악구청,2019-06-05
149390824,1,서울특별시 관악구 신림로19길 48,서울특별시 관악구 신림동 1546-9,37.4682683,126.9355168,,한전주,02-879-6781,관악구청,2019-06-05
149604924,1,서울특별시 관악구 남부순환로153길 41-4,서울특별시 관악구 신림동 511-32,37.4841534,126.9157729,,,02-879-6781,관악구청,2019-06-05
149907606,1,서울특별시 관악구 복은6길 61,서울특별시 관악구 신림동 102-27,37.4737604,126.9412642,,,02-879-6781,관악구청,2019-06-05
150,1,서울특별시 관악구 대학길 58-3,서울특별시 관악구 신림동 250-21,37.4680361809,126.937465471,,,02-879-6781,관악구청,2019-06-05
150261926,1,서울특별시 관악구 신림로56길 12,서울특별시 관악구 신림동 1641-45,37.481139,126.9307524,,,02-879-6781,관악구청,2019-06-05
150570174,1,서울특별시 관악구 관천로26길 36,서울특별시 관악구 신림동 1448-11,37.4892779,126.9229935,,,02-879-6781,관악구청,2019-06-05
150758212,1,서울특별시 관악구 미성길 55,서울특별시 관악구 신림동 1563-12,37.47438579,126.9141310,,,02-879-6781,관악구청,2019-06-05
150760334,1,서울특별시 관악구 남부순환로152길 22,서울특별시 관악구 신림동 1572-21,37.4817734,126.9188793,,,02-879-6781,관악구청,2019-06-05
150760361,1,서울특별시 관악구 대학길 58-3,서울특별시 관악구 신림동 250-21,37.4680361809,126.937465471,,,02-879-6781,관악구청,2019-06-05
150820706,1,서울특별시 관악구 문성로38길 13-14,서울특별시 관악구 신림동 412-237,37.4778966,126.9311062,,,02-879-6781,관악구청,2019-06-05
150820831,1,서울특별시 관악구 관천로12길 30,서울특별시 관악구 신림동 1461-1,37.4860195,126.926238,,,02-879-6781,관악구청,2019-06-05
150822045,1,서울특별시 관악구 남부순환로172길 39,서울특별시 관악구 신림동 1580-4,37.48267012,126.9237314,,,02-879-6781,관악구청,2019-06-05
150822250,1,서울특별시 관악구 법원단지10길 26,서울특별시 관악구 신림동 610-213,37.4734844,126.921647614,,,02-879-6781,관악구청,2019-06-05
150822857,1,서울특별시 관악구 신림로68길 39,서울특별시 관악구 신림동 1418-33,37.4865271,126.931596,,,02-879-6781,관악구청,2019-06-05
150822919,1,서울특별시 관악구 난곡로30길 33,서울특별시 관악구 신림동 631-12,37.47121048,126.9218077,,,02-879-6781,관악구청,2019-06-05
150822982,1,서울특별시 관악구 난곡로64길 23,서울특별시 관악구 신림동 1569-27,37.48155231,126.9158198,,,02-879-6781,관악구청,2019-06-05
150822991,1,서울특별시 관악구 신림로50길 31,서울특별시 관악구 신림동 90-38,37.4804741,126.9322034,,,02-879-6781,관악구청,2019-06-05
150823017,1,서울특별시 관악구 남부순환로151길 24,서울특별시 관악구 신림동 526-1,37.48327634,126.9168920,,건축물,02-879-6781,관악구청,2019-06-05
150823106,1,서울특별시 관악구 조원중앙로 48,서울특별시 관악구 신림동 569-1,37.4832099,126.9074466,,,02-879-6781,관악구청,2019-06-05
12341234,1,서울특별시 관악구 국회단지 20길 28,서울특별시 관악구 봉천동 635-116,37.4895886,126.943847,,건축물,02-879-6781,관악구청,2019-06-05
125-1,1,서울특별시 관악구 관악로12길 47,서울특별시 관악구 관악로12길 47,37.477785,126.9550708,,,02-879-6781,관악구청,2019-06-05
481,1,,서울특별시 관악구 봉천동 산8-2-1,37.47360485,126.9705902,,,02-879-6781,관악구청,2019-06-05
535,1,서울특별시 관악구 국회단지4길 39-8,서울특별시 관악구 국회단지4길 39-8,37.4873818,126.9424074,,,02-879-6781,관악구청,2019-06-05
536,1,서울특별시 관악구 국회단지2길 26,서울특별시 관악구 국회단지2길 26,37.4865295,126.9409111,,,02-879-6781,관악구청,2019-06-05
