"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"동일로 324",1,서울특별시 광진구 동일로 324,서울특별시 광진구 동일로 324,37.5599172992,127.0743638603,,,02-450-7873,서울특별시 광진구청,2019-01-01
"동일로62길 3",1,서울특별시 광진구 동일로62길 3,서울특별시 광진구 동일로62길 3,37.5600216978,127.0745495797,,,02-450-7873,서울특별시 광진구청,2019-01-01
"동일로62길 5",1,서울특별시 광진구 동일로62길 5,서울특별시 광진구 동일로62길 5,37.5600900504,127.0747443180,,,02-450-7873,서울특별시 광진구청,2019-01-01
"천호대로 503",1,서울특별시 광진구 천호대로 503,서울특별시 광진구 천호대로 503,37.5593800596,127.0747526631,,,02-450-7873,서울특별시 광진구청,2019-01-01
"동일로62길 14",1,서울특별시 광진구 동일로62길 14,서울특별시 광진구 동일로62길 14,37.5596971099,127.0749114315,,,02-450-7873,서울특별시 광진구청,2019-01-01
"동일로62길 13",1,서울특별시 광진구 동일로62길 13,서울특별시 광진구 동일로62길 13,37.5598628415,127.0749930870,,,02-450-7873,서울특별시 광진구청,2019-01-01
"동일로62길 13-6",1,서울특별시 광진구 동일로62길 13-6,서울특별시 광진구 동일로62길 13-6,37.5599527509,127.0752919727,,,02-450-7873,서울특별시 광진구청,2019-01-01
"동일로62길 19",1,서울특별시 광진구 동일로62길 19,서울특별시 광진구 동일로62길 19,37.5597220583,127.0753505941,,,02-450-7873,서울특별시 광진구청,2019-01-01
"동일로62길 19",1,서울특별시 광진구 동일로62길 19,서울특별시 광진구 동일로62길 19,37.5597220583,127.0753505941,,,02-450-7873,서울특별시 광진구청,2019-01-01
"천호대로 507",1,서울특별시 광진구 천호대로 507,서울특별시 광진구 천호대로 507,37.5592175149,127.0753274502,,,02-450-7873,서울특별시 광진구청,2019-01-01
