"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가리봉동",1,서울특별시 구로구 구로동로5길 37,서울특별시 구로구 가리봉동 26-33,37.484275,126.884212,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로5길 32,서울특별시 구로구 가리봉동 26-19,37.484488,126.884528,2012,한전주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로5길 17-12,서울특별시 구로구 가리봉동 87-131,37.4838848,126.885169,2018,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로7가길 14-1,서울특별시 구로구 가리봉동 777-3,37.4849661,126.8846021,2018,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로5길 31- 5,서울특별시 구로구 가리봉동 26-23,37.4841734,126.8846196,2012,전용주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로5길 23- 2,서울특별시 구로구 가리봉동 87-155,37.484363,126.8847859,2012,전용주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로2길 13-4,서울특별시 구로구 가리봉동89-88,37.4839936992,126.8872963374,2018,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로7길 67-5,서울특별시 구로구 가리봉동13-39,37.486336,126.8831946,2018,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 가리봉동126-26,서울특별시 구로구 가리봉동126-26,37.480906,126.888922,2018,전용주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 우마길 23,서울특별시 구로구 가리봉동126-27,37.480928,126.888807,2018,전용주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 가리봉동 87-15 4,서울특별시 구로구 가리봉동 87-154,37.484511,126.884862,2012,한전주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로5길 6-1 8,서울특별시 구로구 가리봉동 25-164,37.4847815,126.8853783,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로5길 6-1 2,서울특별시 구로구 가리봉동 25-84,37.485026,126.885327,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 가리봉동 25-47,서울특별시 구로구 가리봉동 25-47,37.484761,126.885405,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로7가길 17 -10,서울특별시 구로구 가리봉동 25-130,37.4846417,126.8848896,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로5길 6-2 8,서울특별시 구로구 가리봉동 25-78,37.484681,126.8848896,2012,한전주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로5길 23-9,서울특별시 구로구 가리봉동 87-171,37.483978,126.8850028,2018,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 남부순환로105길 76,서울특별시 구로구 가리봉동 125-16,37.480151,126.888681,2018,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로5길 23- 1,서울특별시 구로구 가리봉동 87-167,37.484359,126.884971,2012,전용주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로5길 23- 5,서울특별시 구로구 가리봉동 87-169,37.484168,126.884985,2012,한전주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로5길 23- 13,서울특별시 구로구 가리봉동 87-185,37.483898,126.884976,2012,한전주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로5길 23- 17,서울특별시 구로구 가리봉동 87-175,37.483674,126.885094,2012,전용주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 디지털로20길 6,서울특별시 구로구 가리봉동 135-3,37.4800854,126.891411,2012,한전주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 디지털로20길 5,서울특별시 구로구 가리봉동 134-103,37.4802418,126.891587,2013,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 디지털로20길 5- 3,서울특별시 구로구 가리봉동 134-104,37.480286,126.891716,2017,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 디지털로24길 26,서울특별시 구로구 가리봉동 134-97,37.4800875,126.891856,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 디지털로24길 22,서울특별시 구로구 가리봉동 134-92,37.480161,126.892055,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 디지털로24길 19 -1,서울특별시 구로구 가리봉동 134-80,37.480099,126.892227,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 디지털로24길 17,서울특별시 구로구 가리봉동 134-74,37.4801900,126.892161,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 디지털로24길 18,서울특별시 구로구 가리봉동 134-93,37.480287,126.8920605,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 디지털로 230-11,서울특별시 구로구 가리봉동 134-67,37.480398,126.892151,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 디지털로 230-15,서울특별시 구로구 가리봉동 134-57,37.480339,126.892351,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 디지털로 230-8,서울특별시 구로구 가리봉동 134-108,37.480358,126.891924,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 디지털로 230-2,서울특별시 구로구 가리봉동 134-111,37.480394,126.891648,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 디지털로 238,서울특별시 구로구 가리봉동 134-119,37.480881,126.8919952695,2012,한전주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 디지털로 236-1,서울특별시 구로구 가리봉동 134-118,37.480787,126.8918907,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 디지털로24길 4-5,서울특별시 구로구 가리봉동 134-48,37.4805856,126.891941,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 우마2가길 25-2,서울특별시 구로구 가리봉동 115-80,37.483744,126.890033,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 우마2가길 21,서울특별시 구로구 가리봉동 113-25,37.4834624,126.889884,2012,한전주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 우마2가길 18-3,서울특별시 구로구 가리봉동 115-73,37.483442,126.8902459023,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 우마2가길 18-3,서울특별시 구로구 가리봉동 115-73,37.483442,126.8902459023,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 우마2가길 18,서울특별시 구로구 가리봉동 116-2,37.4832691,126.890124,2012,한전주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 우마2가길 13,서울특별시 구로구 가리봉동 116-4,37.483074,126.889989,2012,한전주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 우마1가길 13-25,서울특별시 구로구 가리봉동 116-10,37.4828750,126.889898,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 우마2가길 7,서울특별시 구로구 가리봉동 118-17,37.4827488,126.8900748,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 우마2가길 7,서울특별시 구로구 가리봉동 118-17,37.4827488,126.8900748,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 우마1가길 13-27,서울특별시 구로구 가리봉동 116-9,37.482976,126.889867,2012,건축물,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 우마1다길 25,서울특별시 구로구 가리봉동 111-1,37.482879,126.889668,2012,전용주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 우마1다길 25,서울특별시 구로구 가리봉동 111-1,37.482879,126.889668,2012,전용주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 우마1가길 13-7,서울특별시 구로구 가리봉동 111-2,37.482758,126.889486,2012,전용주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 우마1가길 13-7,서울특별시 구로구 가리봉동 111-2,37.482758,126.889486,2012,한전주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로5길 23- 23,서울특별시 구로구 가리봉동 87-178,37.483537,126.885018,2012,한전주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로7길 11,서울특별시 구로구 가리봉동 774-4,37.4852885,126.885211,2017,전용주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로7가길 6-4,서울특별시 구로구 가리봉동 774-2,37.4852893,126.8850473,2017,전용주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로7가길 6-8,서울특별시 구로구 가리봉동 774-1,37.4853733,126.8849794,2017,전용주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로7길 15- 10,서울특별시 구로구 가리봉동 772-9,37.4854611,126.8846377,2012,한전주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로5길 38-9,서울특별시 구로구 가리봉동 24-1,37.4847653,126.884268,2012,한전주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로7길 31-35,서울특별시 구로구 가리봉동 772-1,37.485652,126.884304,2012,전용주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로7길 31-35,서울특별시 구로구 가리봉동 772-1,37.485652,126.884304,2012,전용주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로7길 31-35,서울특별시 구로구 가리봉동 772-1,37.485652,126.884304,2012,한전주,02-860-2407,서울특별시 구로구청,2019-06-28
"가리봉동",1,서울특별시 구로구 구로동로5길6-30,서울특별시 구로구 가리봉동 25-1,37.4846066,126.884708,2012,한전주,02-860-2407,서울특별시 구로구청,2019-06-28
