"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가산동 105",1,서울특별시 금천구 서부샛길 588,서울특별시 금천구 가산동 547-78,37.4784346,126.8768200,2004,건축물,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 106",1,서울특별시 금천구 가산디지털2로 127-143,서울특별시 금천구 가산동 547-84,37.4785711,126.8769536,2004,건축물,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1014",1,서울특별시 금천구 서부샛길 584,서울특별시 금천구 가산동 547-63 (78),37.47836088,126.8771258,2004,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1016",1,서울특별시 금천구 서부샛길 578,서울특별시 금천구 가산동 547-59,37.47814316,126.8769708,2004,건축물,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1017",1,서울특별시 금천구 서부샛길 578,서울특별시 금천구 가산동 547-59,37.47814316,126.8769708,2005,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1018",1,서울특별시 금천구 서부샛길 582-8,서울특별시 금천구 가산동 547-56,37.4780402,126.8772284,2005,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1019",1,서울특별시 금천구 서부샛길 578,서울특별시 금천구 가산동 547-59,37.4781017,126.8769652,2005,건축물,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1020",1,서울특별시 금천구 서부샛길 572,서울특별시 금천구 가산동 542-1,37.477794,126.8776741,2005,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1021",1,서울특별시 금천구 서부샛길 572,"서울특별시 금천구 가산동 542-6,12",37.477794,126.8776741,2005,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1022",1,서울특별시 금천구 서부샛길 578,서울특별시 금천구 가산동 547-59,37.4781017,126.8769652,2005,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1023",1,서울특별시 금천구 서부샛길 588,"서울특별시 금천구 가산동 547-57,58",37.4784346,126.8768200,2006,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1027",1,서울특별시 금천구 서부샛길 612,서울특별시 금천구 가산동 542-6,37.4795332,126.8762778,2005,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1028",1,서울특별시 금천구 서부샛길 612,서울특별시 금천구 가산동 542-6,37.4795332,126.8762778,2005,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1029",1,서울특별시 금천구 서부샛길 618,서울특별시 금천구 가산동 542-2,37.4796951,126.8762426,2005,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1030",1,서울특별시 금천구 서부샛길 622,서울특별시 금천구 가산동 481-2,37.4798433,126.8761895,2005,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1031",1,서울특별시 금천구 가산디지털2로 169-44,서울특별시 금천구 가산동 5-35,37.4828212,126.875341,2004,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1032",1,서울특별시 금천구 가산디지털2로 169-44,서울특별시 금천구 가산동 535-129,37.4828212,126.875341,2004,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1033",1,서울특별시 금천구 가산디지털2로 169-44,서울특별시 금천구 가산동 535-130,37.4828212,126.875341,2004,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1034",1,서울특별시 금천구 서부샛길 724,서울특별시 금천구 가산동 535-158,37.4844088,126.8746761,2004,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1035",1,서울특별시 금천구 서부샛길 732,서울특별시 금천구 가산동 5-24,37.4845339,126.874465,2004,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1036",1,서울특별시 금천구 서부샛길 732,서울특별시 금천구 가산동 535-130,37.4845339,126.874465,2003,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1037",1,서울특별시 금천구 서부샛길 732-16,서울특별시 금천구 가산동 5-24,37.4846905,126.8749251,2003,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1038",1,서울특별시 금천구 가산디지털2로 142-6,서울특별시 금천구 가산동 458-17,37.4803325,126.8792202,2000,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1039",2,서울특별시 금천구 가산디지털2로 142-9,서울특별시 금천구 가산동 458-5,37.48045893,126.8795217,2005,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1040",1,서울특별시 금천구 가산디지털2로 142-17,서울특별시 금천구 가산동 458-30,37.4803887,126.8798299,2005,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1041",1,서울특별시 금천구 가산디지털2로 142-21,서울특별시 금천구 가산동 458-1,37.4803878,126.8801097,2018,한전주,02-2627-1833,금천구청 도로과,2019-09-05
"가산동 1042",1,서울특별시 금천구 가산디지털2로 138-15,서울특별시 금천구 가산동 458-25,37.48019681,126.8797441,2005,전용주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1043",1,서울특별시 금천구 가산디지털2로 138-9,서울특별시 금천구 가산동 458-27,37.48019681,126.8795198,2005,전용주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1044",1,서울특별시 금천구 가산디지털2로 138-3,서울특별시 금천구 가산동 458-27,37.4802218,126.8792082,2005,건축물,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1045",1,서울특별시 금천구 가산디지털2로 136,서울특별시 금천구 가산동 371-37,37.479998,126.8796786,2005,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1046",1,서울특별시 금천구 가산디지털2로 142,서울특별시 금천구 가산동 458-17,37.4805289,126.8789323,2005,건축물,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1047",1,서울특별시 금천구 가산디지털1로 186,서울특별시 금천구 가산동 458-8,37.4817399,126.8817895,2004,전용주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1048",1,서울특별시 금천구 가산디지털1로 186,서울특별시 금천구 가산동 459-11,37.4817399,126.8817895,2004,전용주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1049",1,서울특별시 금천구 가산디지털1로 186,서울특별시 금천구 가산동 470-1,37.4817399,126.8817895,2004,전용주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1050",1,서울특별시 금천구 가산디지털1로 196,서울특별시 금천구 가산동 470-12,37.4829154,126.8812688,2004,전용주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1051",1,서울특별시 금천구 가산디지털1로 196,서울특별시 금천구 가산동 470-5,37.4829686,126.8812857,2004,전용주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1052",1,서울특별시 금천구 가산디지털1로 204,서울특별시 금천구 가산동 4-7,37.483429,126.880801,2004,전용주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1053",1,서울특별시 금천구 가산디지털1로 206,서울특별시 금천구 가산동 470-12,37.48388251,126.8807407,2004,전용주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1054",1,서울특별시 금천구 가산디지털1로 206,서울특별시 금천구 가산동 470-12,37.4838400,126.8807123,2004,전용주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1055",1,서울특별시 금천구 가산디지털1로 212,서울특별시 금천구 가산동 470-12,37.4843157,126.8805164,2005,전용주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1056",1,서울특별시 금천구 가산디지털1로 212,서울특별시 금천구 가산동 493-6,37.4843157,126.8805164,2005,전용주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1057",1,서울특별시 금천구 가산디지털1로 212,서울특별시 금천구 가산동 505-14,37.4843157,126.8805742,2005,전용주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1062",1,서울특별시 금천구 가산디지털1로 230,서울특별시 금천구 가산동 505-3,37.4856589,126.8795454,2005,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1063",1,서울특별시 금천구 가산디지털1로 230,서울특별시 금천구 가산동 505-14,37.4856589,126.8795454,2005,건축물,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1064",1,서울특별시 금천구 가산디지털1로 230,서울특별시 금천구 가산동 505-3 월편,37.4856589,126.8795454,2005,건축물,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1065",2,서울특별시 금천구 가산디지털1로 230,서울특별시 금천구 가산동 505-3,37.4856589,126.8795454,2005,한전주,02-2627-2405,금천구청 도로과,2019-09-05
"가산동 1066",2,서울특별시 금천구 가산디지털1로 230,서울특별시 금천구 가산동 505-3,37.4856589,126.8795454,2005,한전주,02-2627-2405,금천구청 도로과,2019-09-05
