"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"공릉2동 공릉ⓐ가동 주변",1,서울특별시 노원구 노원로1길 74,서울특별시 노원구 공릉2동 공릉ⓐ가동,,,,한전주,02-2116-4157,서울특별시 노원구청,2018-10-05
"공릉2동 공릉ⓐ마동 주변",1,서울특별시 노원구 노원로1길 74,서울특별시 노원구 공릉2동 공릉ⓐ마동,,,,한전주,02-2116-4157,서울특별시 노원구청,2018-10-05
"공릉2동 240-196 주변",1,서울특별시 노원구 공릉로32길 33-10,서울특별시 노원구 공릉2동 240-196,,,,한전주,02-2116-4157,서울특별시 노원구청,2018-10-05
"공릉2동 240-18 주변",1,서울특별시 노원구 공릉로34길 22,서울특별시 노원구 공릉2동 240-18,,,,한전주,02-2116-4157,서울특별시 노원구청,2018-10-05
"공릉2동 87천주교 주변",1,서울특별시 노원구 동일로192길 57,서울특별시 노원구 공릉2동 87천주교,,,,전용주,02-2116-4157,서울특별시 노원구청,2018-10-05
"공릉2동 240-209 주변",1,서울특별시 노원구 공릉로32길 35,서울특별시 노원구 공릉2동 240-209,,,,전용주,02-2116-4157,서울특별시 노원구청,2018-10-05
"공릉2동 248-9 주변",1,서울특별시 노원구 공릉로32길 35,서울특별시 노원구 공릉2동 248-9,,,,한전주,02-2116-4157,서울특별시 노원구청,2018-10-05
"공릉2동 동진ⓐ105동 주변",1,서울특별시 노원구 동일로192길 57,서울특별시 노원구 공릉2동 동진ⓐ105동,,,,한전주,02-2116-4157,서울특별시 노원구청,2018-10-05
"공릉2동 동진ⓐ104동 주변",1,서울특별시 노원구 동일로192길 57,서울특별시 노원구 공릉2동 동진ⓐ104동,,,,한전주,02-2116-4157,서울특별시 노원구청,2018-10-05
"공릉2동 동진ⓐ101동 주변",1,서울특별시 노원구 동일로192길 57,서울특별시 노원구 공릉2동 동진ⓐ101동,,,,한전주,02-2116-4157,서울특별시 노원구청,2018-10-05
"공릉2동 439-2 주변",1,서울특별시 노원구 공릉로51길 14-2,서울특별시 노원구 공릉2동 439-2,,,,한전주,02-2116-4157,서울특별시 노원구청,2018-10-05
"공릉2동 436-22 주변",1,서울특별시 노원구 공릉로51길 14-2,서울특별시 노원구 공릉2동 436-22,,,,한전주,02-2116-4157,서울특별시 노원구청,2018-10-05
"공릉2동 436-10 주변",1,서울특별시 노원구 공릉로51길 14-2,서울특별시 노원구 공릉2동 436-10,,,,한전주,02-2116-4157,서울특별시 노원구청,2018-10-05
"공릉2동 439-18(우) 주변",1,서울특별시 노원구 노원로1길 121,서울특별시 노원구 공릉2동 439-18(우),,,,한전주,02-2116-4157,서울특별시 노원구청,2018-10-05
"공릉2동 건영ⓐ 주변",1,서울특별시 노원구 노원로1길 121,서울특별시 노원구 공릉2동 건영ⓐ,,,,전용주,02-2116-4157,서울특별시 노원구청,2018-10-05
"공릉2동 위례정보고 주변",1,서울특별시 노원구 노원로1길 121,서울특별시 노원구 공릉2동 위례정보고,,,,한전주,02-2116-4157,서울특별시 노원구청,2018-10-05
"공릉2동 240-61 주변",1,서울특별시 노원구 공릉로32길 37,서울특별시 노원구 공릉2동 240-61(주변),,,,한전주,02-2116-4157,서울특별시 노원구청,2018-10-05
"공릉2동 485-5 주변",1,서울특별시 노원구 공릉로32길 37,서울특별시 노원구 공릉2동 485-5,,,,건축물,02-2116-4157,서울특별시 노원구청,2018-10-05
