보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
전농1동-0001,1,서울특별시 동대문구 왕산로 292,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0002,1,서울특별시 동대문구 왕산로 294-1,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0003,1,서울특별시 동대문구 왕산로 302,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0004,1,서울특별시 동대문구 왕산로 306-3,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0005,1,서울특별시 동대문구 왕산로 306-10,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0006,1,서울특별시 동대문구 망우로4길 2,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0007,1,서울특별시 동대문구 망우로4길 8,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0008,1,서울특별시 동대문구 망우로4길 8,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0009,1,서울특별시 동대문구 서울시립대로29길 86-9,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0010,1,서울특별시 동대문구 망우로4길 8,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0011,1,서울특별시 동대문구 전농로38라길 35,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0012,1,서울특별시 동대문구 전농로39라길 32,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0013,1,서울특별시 동대문구 서울시립대로29길 86-7,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0014,1,서울특별시 동대문구 전농로38길 59,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0015,1,서울특별시 동대문구 전농로39라길 32,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0016,1,서울특별시 동대문구 전농로39라길 16,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0017,1,서울특별시 동대문구 서울시립대로29길 85-1,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0018,1,서울특별시 동대문구 서울시립대로29길 82,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0019,1,서울특별시 동대문구 전농로39라길 11,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0021,1,서울특별시 동대문구 전농로39길 37,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0022,1,서울특별시 동대문구 전농로39라길 3,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0023,1,서울특별시 동대문구 전농로38길 35,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0024,1,서울특별시 동대문구 서울시립대로 36,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0025,1,서울특별시 동대문구 전농로38길 47,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0026,1,서울특별시 동대문구 답십리로19길 22-4,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0027,1,서울특별시 동대문구 전농로38길 24,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0028,1,서울특별시 동대문구 전농로38길 24,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0029,1,서울특별시 동대문구 전농로38길 18,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0030,1,서울특별시 동대문구 전농로38나길 4,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0031,1,서울특별시 동대문구 전농로38길 8-1,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0032,1,서울특별시 동대문구 전농로38길 2,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0033,1,서울특별시 동대문구 전농로38길 38,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0034,1,서울특별시 동대문구 전농로38길 46,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0035,1,서울특별시 동대문구 전농로38길 42,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0036,1,서울특별시 동대문구 전농로38길 48-3,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0037,1,서울특별시 동대문구 전농로38길 30,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0038,1,서울특별시 동대문구 전농로38다길 15,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0039,1,서울특별시 동대문구 전농로38다길 22,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0040,1,서울특별시 동대문구 전농로38다길 28,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0041,1,서울특별시 동대문구 전농로38다길 31,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0042,1,서울특별시 동대문구 전농로38다길 33-1,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0043,1,서울특별시 동대문구 전농로38다길 2,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0044,1,서울특별시 동대문구 전농로38나길 11,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0045,1,서울특별시 동대문구 전농로38다길 4,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0046,1,서울특별시 동대문구 전농로38다길 14,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0047,1,서울특별시 동대문구 전농로38나길 25,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0048,1,서울특별시 동대문구 전농로38나길 30,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0049,1,서울특별시 동대문구 전농로38나길 4,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0050,1,서울특별시 동대문구 전농로38가길 15-4,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0051,1,서울특별시 동대문구 전농로38가길 21-1,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0052,1,서울특별시 동대문구 전농로38길 8-1,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0053,1,서울특별시 동대문구 전농로38나길 4,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0054,1,서울특별시 동대문구 전농로38가길 9,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0055,1,서울특별시 동대문구 전농로38가길 15-1,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0056,1,서울특별시 동대문구 전농로38가길 22,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0057,1,서울특별시 동대문구 전농로38가길 29,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0058,1,서울특별시 동대문구 전농로38가길 36,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0060,1,서울특별시 동대문구 전농로36길 17,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0061,1,서울특별시 동대문구 전농로36길 6,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0062,1,서울특별시 동대문구 전농로36길 1,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0063,1,서울특별시 동대문구 전농로36길 15-1,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0064,1,서울특별시 동대문구 전농로36길 21,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0065,1,서울특별시 동대문구 전농로36길 29-2,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0066,1,서울특별시 동대문구 전농로38가길 38,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0067,1,서울특별시 동대문구 전농로36나길 7,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0068,1,서울특별시 동대문구 전농로36나길 1,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0069,1,서울특별시 동대문구 전농로36나길 7,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0070,1,서울특별시 동대문구 전농로36나길 15,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0071,1,서울특별시 동대문구 전농로36나길 17,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0072,1,서울특별시 동대문구 전농로36나길 25,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0073,1,서울특별시 동대문구 전농로41나길 31,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0074,1,서울특별시 동대문구 전농로41나길 31,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0075,1,서울특별시 동대문구 전농로36나길 10,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0076,1,서울특별시 동대문구 전농로34길 7,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0077,1,서울특별시 동대문구 전농로34길 2,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0078,1,서울특별시 동대문구 전농로34길 15-2,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0079,1,서울특별시 동대문구 전농로34길 14-3,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0080,1,서울특별시 동대문구 전농로34길 23,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0081,1,서울특별시 동대문구 전농로34길 20-2,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0082,1,서울특별시 동대문구 전농로34길 8,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0083,1,서울특별시 동대문구 전농로36가길 23-6,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0084,1,서울특별시 동대문구 전농로 227-1,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0085,1,서울특별시 동대문구 전농로 224,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0086,1,서울특별시 동대문구 전농로34길 25,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
전농1동-0087,1,서울특별시 동대문구 전농로34길 28-1,,,,,,02-2127-4832,서울특별시 동대문구청,2020-04-28
