"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
01-122,1,서울특별시 동작구 노량진로14나길 11,서울특별시 동작구 노량진동 86-5,37.512185,126.943564,2020,,02-820-1408,서울특별시 동작구청,2020-05-22
01-125,1,,서울특별시 동작구 노량진동 119-111,37.51191459,126.943306,2020,한전주,02-820-1408,서울특별시 동작구청,2020-05-22
01-3100,1,서울특별시 동작구 노량진동84-120,서울특별시 동작구 노량진동 84-120,37.51130173,126.9429399,2020,건축물,02-820-1408,서울특별시 동작구청,2020-05-22
01-3101,1,서울특별시 동작구 노량진로32길27,서울특별시 동작구 본동 9-48,37.512356,126.956575,2020,,02-820-1408,서울특별시 동작구청,2020-05-22
01-3102,1,서울특별시 동작구 노량진로16길 48,서울특별시 동작구 노량진동 119-83,37.511609,126.943899,2020,전용주,02-820-1408,서울특별시 동작구청,2020-05-22
01-3103,1,서울특별시 동작구 만양로13길38,서울특별시 동작구 노량진동 221-18,37.508942,126.944801,2020,건축물,02-820-1408,서울특별시 동작구청,2020-05-22
01-3104,1,서울특별시 동작구 만양로13길33,서울특별시 동작구 노량진동 221-24,37.509321,126.945023,2020,전용주,02-820-1408,서울특별시 동작구청,2020-05-22
01-3105,1,서울특별시 동작구 노량진로28길16-18,서울특별시 동작구 본동 48-34,37.511757,126.954897,2020,건축물,02-820-1408,서울특별시 동작구청,2020-05-22
01-607,1,서울특별시 동작구 노량진로14나길 10,서울특별시 동작구 노량진동 85-25,37.512228,126.943374,2020,한전주,02-820-1408,서울특별시 동작구청,2020-05-22
02-001,1,서울특별시 동작구 장승배기로22길 57-17,서울특별시 동작구 노량진동 225-90,37.508498,126.942752,2020,건축물,02-820-1408,서울특별시 동작구청,2020-05-22
02-002,1,서울특별시 동작구 장승배기로22길46-6,서울특별시 동작구 노량진동 226-17,37.5080395290,126.9417797465,2020,,02-820-1408,서울특별시 동작구청,2020-05-22
02-003,1,서울특별시 동작구 장승배기로20길46-4,서울특별시 동작구 노량진동 225-215,37.509254,126.942068,2020,전용주,02-820-1408,서울특별시 동작구청,2020-05-22
02-004,1,서울특별시 동작구 장승배기로16길 109,서울특별시 동작구 노량진동 225-171,37.509489,126.943014,2020,전용주,02-820-1408,서울특별시 동작구청,2020-05-22
02-005,1,서울특별시 동작구 장승배기로16길 101,서울특별시 동작구 노량진동 225-171,37.509136,126.943046,2020,건축물,02-820-1408,서울특별시 동작구청,2020-05-22
02-006,1,서울특별시 동작구 장승배기로16길 101,서울특별시 동작구 노량진동 225-171,37.509136,126.943046,2020,한전주,02-820-1408,서울특별시 동작구청,2020-05-22
02-007,1,서울특별시 동작구 장승배기로22길 57-17,서울특별시 동작구 노량진동 225-90,37.508498,126.942752,2020,한전주,02-820-1408,서울특별시 동작구청,2020-05-22
02-008,1,서울특별시 동작구 장승배기로22길 57-17,서울특별시 동작구 노량진동 225-90,37.508498,126.942752,2020,전용주,02-820-1408,서울특별시 동작구청,2020-05-22
02-009,1,서울특별시 동작구 장승배기로16길 83-6,서울특별시 동작구 노량진동 225-83,37.508663,126.942517,2020,전용주,02-820-1408,서울특별시 동작구청,2020-05-22
02-010,1,서울특별시 동작구 장승배기로22길 41-18,서울특별시 동작구 노량진동 225-73,37.5088146,126.9421999,2020,전용주,02-820-1408,서울특별시 동작구청,2020-05-22
02-011,1,서울특별시 동작구 장승배기로22길 41-20,서울특별시 동작구 노량진동 225-202,37.508915,126.942114,2020,건축물,02-820-1408,서울특별시 동작구청,2020-05-22
02-012,1,서울특별시 동작구 장승배기로22길 41-24,서울특별시 동작구 노량진동 225-204,37.508991,126.942041,2020,건축물,02-820-1408,서울특별시 동작구청,2020-05-22
02-013,1,서울특별시 동작구 장승배기로22길 41-7,서울특별시 동작구 노량진동 225-146,37.508739,126.941919,2020,전용주,02-820-1408,서울특별시 동작구청,2020-05-22
02-014,1,서울특별시 동작구 장승배기로22길 44,서울특별시 동작구 노량진동 226-15,37.508436,126.941834,2020,전용주,02-820-1408,서울특별시 동작구청,2020-05-22
02-015,1,서울특별시 동작구 장승배기로22길 36,서울특별시 동작구 노량진동 225-41,37.508638,126.941467,2020,전용주,02-820-1408,서울특별시 동작구청,2020-05-22
02-016,1,서울특별시 동작구 장승배기로22길 35-7,서울특별시 동작구 노량진동 225-144,37.508908,126.941861,2020,한전주,02-820-1408,서울특별시 동작구청,2020-05-22
02-017,1,서울특별시 동작구 장승배기로22길 32,서울특별시 동작구 노량진동 225-39,37.508821,126.941259,2020,전용주,02-820-1408,서울특별시 동작구청,2020-05-22
02-018,1,서울특별시 동작구 장승배기로20길 20,서울특별시 동작구 노량진동 225-36,37.508919,126.941128,2020,한전주,02-820-1408,서울특별시 동작구청,2020-05-22
02-019,1,서울특별시 동작구 장승배기로20길 32,서울특별시 동작구 노량진동 225-5,37.509247,126.941553,2020,한전주,02-820-1408,서울특별시 동작구청,2020-05-22
