"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"공덕1동",1,서울특별시 마포구 만리재로124길18,서울특별시 마포구 공덕1동 11-56,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로95길 24-5,서울특별시 마포구 공덕1동 11-20,37.5490793820,126.9619996201,2014,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로95길 24-4,서울특별시 마포구 공덕1동 11-16,37.5489893272,126.9621399886,2005,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로95길 24,서울특별시 마포구 공덕1동 11-13,37.5488992331,126.9621581404,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로95길 16,서울특별시 마포구 공덕1동 10-20,37.5489029770,126.9625972127,2017,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로12나길 26,서울특별시 마포구 공덕1동 11-5,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로124길 22,서울특별시 마포구 공덕1동 11-23,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로124길15-3,서울특별시 마포구 공덕1동 11-96,,,2013,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로12가길 14,서울특별시 마포구 공덕1동 11-29,37.5494721749,126.9618681500,2007,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로14길 36,서울특별시 마포구 공덕1동 9-75,37.5495622967,126.9619360028,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로12가길 21,서울특별시 마포구 공덕1동 9-73,37.5494651123,126.9623208109,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로95길 22,서울특별시 마포구 공덕1동 11-12,37.5488992592,126.9622396180,2005,건축물,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로12가길 29,서울특별시 마포구 공덕1동 9-48,37.5493895477,126.9626965540,2007,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로12가길 29-3,서울특별시 마포구 공덕1동 9-47,37.5494580293,126.9627146262,2007,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로12가길 19,서울특별시 마포구 공덕1동 9-5,37.5495155754,126.9623434183,2005,건축물,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로97길 10,서울특별시 마포구 공덕1동 9-1,37.5493680191,126.9629998447,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로97길 12,서울특별시 마포구 공덕1동 10-10,37.5492130432,126.9629863416,2005,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로12나길32,서울특별시 마포구 공덕1동 10-7,37.5489895529,126.9628506559,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로16안길 23-6,서울특별시 마포구 공덕1동 10-30,37.5491408821,126.9627283638,2014,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로97길 17,서울특별시 마포구 공덕1동 7-173,37.5490112818,126.9631856094,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로95길 4,서울특별시 마포구 공덕1동 7-166,37.5489356360,126.9633078632,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로97길 20,서울특별시 마포구 공덕1동 10-23,37.5488995241,126.9630770274,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로97길9-3,서울특별시 마포구 공덕1동 7-148,37.5492780083,126.9632850625,2005,건축물,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로16안길 11-19,서울특별시 마포구 공덕1동 7-76,37.5495879546,126.9632939637,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로16안길 11-9,서울특별시 마포구 공덕1동 7-37,37.5496780093,126.9631490688,2014,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로16안길 11-13,서울특별시 마포구 공덕1동 7-33,37.5497032852,126.9633029603,2014,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로97길 4,서울특별시 마포구 공덕1동 7-32,37.5496564543,126.9633708820,2014,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로16안길 11-8,서울특별시 마포구 공덕1동 7-94,37.5495806505,126.9629861599,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로 253-9,서울특별시 마포구 공덕1동 7-39,37.5497825293,126.9631625971,2005,건축물,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로 253-17,서울특별시 마포구 공덕1동 7-45,37.5498978274,126.9630674818,2014,건축물,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로 253-6,서울특별시 마포구 공덕1동 7-60,37.5500060220,126.9633073385,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로253-29,서울특별시 마포구 공덕1동 7-53,37.5499374331,126.9629452440,2007,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로 253-6,서울특별시 마포구 공덕1동 7-60,37.5500060220,126.9633073385,2014,건축물,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로 253-21,서울특별시 마포구 공덕1동 7-47,37.5499698960,126.9630312334,2014,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로16안길 7,서울특별시 마포구 공덕1동 7-50,37.5499734488,126.9628682739,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로16안길 11-4,서울특별시 마포구 공덕1동 7-101,37.5496598815,126.9628050573,2014,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로14길 48,서울특별시 마포구 공덕1동 9-23,37.5495120634,126.9626331209,2005,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로16길 28,서울특별시 마포구 공덕1동 7-8,37.5502113465,126.9629767947,2005,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로20길 29,서울특별시 마포구 공덕1동 6-48,37.5503014945,126.9631306553,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로16길 33,서울특별시 마포구 공덕1동 6-50,37.5502186548,126.9632981810,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로20길 29,서울특별시 마포구 공덕1동 6-48,37.5503014945,126.9631306553,2014,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로16길 22,서울특별시 마포구 공덕1동 4-40,37.5501571925,126.9626780650,2014,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로16안길10,서울특별시 마포구 공덕1동 7-116,37.5499049059,126.9626555578,2014,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로16안길11,서울특별시 마포구 공덕1동 7-58,37.5498220640,126.9628140299,2012,건축물,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로14길 41,서울특별시 마포구 공덕1동 7-112,37.5496849761,126.9623840724,2005,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로12나길 14-3,서울특별시 마포구 공덕1동 11-76,37.5490721492,126.9619226724,2007,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로 252,서울특별시 마포구 공덕1동 7-259,37.5496060963,126.9636877673,2005,건축물,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로98길 5,서울특별시 마포구 공덕1동 7-184,37.5497034666,126.9638914165,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로95길 5-4,서울특별시 마포구 공덕1동 10-57,37.5487084812,126.9629775381,2007,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로95길 33,서울특별시 마포구 공덕1동 11-155,37.5486648115,126.9616558147,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로95길 33,서울특별시 마포구 공덕1동 11-155,37.5486648115,126.9616558147,2007,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로16안길 20,서울특별시 마포구 공덕1동 9-83,37.5494363293,126.9624747288,2010,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로95길 19,서울특별시 마포구 공덕1동 11-153,37.5487298961,126.9623166544,2005,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로95길 16,서울특별시 마포구 공덕1동 10-21,37.5489029770,126.9625972127,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로95길 25,서울특별시 마포구 공덕1동 11-154,37.5487190029,126.9620631744,2014,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로14길 27,서울특별시 마포구 공덕1동 468,37.5499875825,126.9619810526,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로14길 27,서울특별시 마포구 공덕1동 8-44,37.5499875825,126.9619810526,2014,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로95길 27,서울특별시 마포구 공덕1동 11-192,37.5487045243,126.9618685411,2008,건축물,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로95길 14,서울특별시 마포구 공덕1동 10-8,37.5489030085,126.9626967965,2008,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 효창원로95길 10,서울특별시 마포구 공덕1동 10-12,37.5489030684,126.9628869111,2009,건축물,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로16길 22,서울특별시 마포구 공덕1동 4-40,37.5501571925,126.9626780650,2017,전용주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로 11길 20-8,서울특별시 마포구 공덕1동 4-57,,,2017,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
"공덕1동",1,서울특별시 마포구 만리재로12길 5,서울특별시 마포구 공덕1동 28-18,37.5500052925,126.9610304565,2005,한전주,02-3153-9774,서울특별시 마포구청,2020-05-27
