"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"남가좌1동",1,,서울특별시 서대문구 남가좌1동295-18,,,,한전주,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동 295-5,,,,한전주,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동271-2,,,,한전주,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동271-1,,,,건축물,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동 271-1,,,,전용주,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동295-18,,,,건축물,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동295-21,,,,한전주,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동 295-5,,,,건축물,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동295-23,,,,건축물,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동295-18,,,,건축물,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동295-7,,,,한전주,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동295-18,,,,건축물,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동295-5,,,,건축물,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동295-24,,,,한전주,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동 295-5,,,,건축물,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동 295-5,,,,건축물,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동 295-4,,,,건축물,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동289-51,,,,건축물,02-330-1275,서울특별시 서대문구청,2019-01-01
"남가좌1동",1,,서울특별시 서대문구 남가좌1동308-9,,,,건축물,02-330-1275,서울특별시 서대문구청,2019-01-01
