"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"장위1동-1",1,서울특별시 성북구 장위로10길25,서울특별시 성북구 장위1동 231-315,37.6127039,127.039867,2000,한전주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-2",1,서울특별시 성북구 장위로10길35,서울특별시 성북구 장위1동 231-318,37.6122210,127.039764,2000,한전주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-3",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.6119912,127.039535,2000,한전주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-4",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.6119912,127.039535,2000,한전주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-5",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.6119912,127.039535,2000,건축물,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-6",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.6119912,127.039535,2000,건축물,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-7",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.6119912,127.039535,2000,건축물,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-8",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.6119912,127.039535,2000,한전주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-9",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.6119912,127.039535,2000,건축물,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-10",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.6119912,127.039535,2000,건축물,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-11",1,서울특별시 성북구 장위로10길41,서울특별시 성북구 장위1동 231-320,37.6119912,127.039535,2000,건축물,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-12",1,서울특별시 성북구 장위로21길17-7,서울특별시 성북구 장위1동 229-45,37.6144432,127.043558,2000,한전주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-13",1,서울특별시 성북구 장위로10길52,서울특별시 성북구 장위1동 231-557,37.6118472,127.039004,2000,건축물,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-14",1,서울특별시 성북구 장위로10길44-2,서울특별시 성북구 장위1동 270-231,37.6121176,127.039232,2000,전용주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-15",1,서울특별시 성북구 장위로10길44-8,서울특별시 성북구 장위1동 231-555,37.6119138,127.038882,2000,전용주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-16",1,서울특별시 성북구 장위로4길29,서울특별시 성북구 장위1동 231-581,37.6119154,127.038743,2000,전용주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-17",1,서울특별시 성북구 장위로4길23,서울특별시 성북구 장위1동 231-501,37.6120558,127.038509,2000,전용주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-18",1,서울특별시 성북구 장위로10길24-22,서울특별시 성북구 장위1동 231-256,37.6121682,127.038695,2000,한전주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-19",1,서울특별시 성북구 장위로10길24-14,서울특별시 성북구 장위1동 231-496,37.6123611,127.039043,2000,한전주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-20",1,서울특별시 성북구 장위로10길24-6,서울특별시 성북구 장위1동 231-260,37.6125256,127.039319,2000,한전주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-21",1,서울특별시 성북구 장위로10길23,서울특별시 성북구 장위1동 231-311,37.6128427,127.039867,2000,전용주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-22",1,서울특별시 성북구 장위로10길20-4,서울특별시 성북구 장위1동 231-246,37.6129414,127.039491,2000,전용주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-23",1,서울특별시 성북구 장위로8길18,서울특별시 성북구 장위1동 231-250,37.6127275,127.039112,2000,한전주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-24",1,서울특별시 성북구 장위로8길20,서울특별시 성북구 장위1동 231-259,37.6125840,127.039187,2000,전용주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-25",1,서울특별시 성북구 장위로8길18-5,서울특별시 성북구 장위1동 231-488,37.6125194,127.039114,2000,전용주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-26",1,서울특별시 성북구 장위로8길18-8,서울특별시 성북구 장위1동 231-481,37.6125194,127.039114,2000,한전주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-27",1,서울특별시 성북구 장위로6길18,서울특별시 성북구 장위1동 231-254,37.6123494,127.038494,2000,한전주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-28",1,서울특별시 성북구 장위로4길15,서울특별시 성북구 장위1동 231-485,37.6123066,127.0382149,2000,전용주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-29",1,서울특별시 성북구 장위로6길12-4,서울특별시 성북구 장위1동 231-475,37.6125128,127.038192,2000,한전주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-30",1,서울특별시 성북구 장위로6길13,서울특별시 성북구 장위1동 231-251,37.6151366,127.042403,2000,건축물,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-31",1,서울특별시 성북구 장위로6길7,서울특별시 성북구 장위1동 231-231,37.6127762,127.0383470,2000,한전주,02-2241-3594,서울특별시 성북구청,2019-05-01
"장위1동-33",1,서울특별시 성북구 장위로17길24,서울특별시 성북구 장위1동 230-73,37.6151366,127.0424034,2000,건축물,02-2241-3594,서울특별시 성북구청,2019-05-01
