"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가락본동-001",1,서울특별시 송파구 가락본동1-10,서울특별시 송파구 오금로67길4-30,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-002",1,서울특별시 송파구 가락본동1-9,서울특별시 송파구 양재대로68길3-25,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-003",1,서울특별시 송파구 가락본동1-6,서울특별시 송파구 양재대로68길3-19,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-004",1,서울특별시 송파구 가락본동1-5,서울특별시 송파구 양재대로68길3-17,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-005",1,서울특별시 송파구 가락본동1-3,서울특별시 송파구 양재대로68길3-11,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-006",1,서울특별시 송파구 가락본동1-1,서울특별시 송파구 양재대로68길3-3,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-007",1,서울특별시 송파구 가락본동1,서울특별시 송파구 양재대로68길3,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-008",1,서울특별시 송파구 가락본동1-1,서울특별시 송파구 양재대로68길3-3,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-009",1,서울특별시 송파구 가락본동1-2,서울특별시 송파구 양재대로68길3-7,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-010",1,서울특별시 송파구 가락본동2,서울특별시 송파구 오금로290,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-011",1,서울특별시 송파구 가락본동,서울특별시 송파구 오금로36길4-23,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-012",1,서울특별시 송파구 가락본동3-3,서울특별시 송파구 오금로36길4-17,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-013",1,서울특별시 송파구 가락본동1-10,서울특별시 송파구 오금로36길4-30,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-014",1,서울특별시 송파구 가락본동4-7,서울특별시 송파구 오금로34길4-19,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-015",1,서울특별시 송파구 가락본동4-5,서울특별시 송파구 오금로34길4-13,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-016",1,서울특별시 송파구 가락본동4-2,서울특별시 송파구 오금로34길4-5,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-017",1,서울특별시 송파구 가락본동4-18,서울특별시 송파구 오금로34길4-8,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-018",1,서울특별시 송파구 가락본동4-15,서울특별시 송파구 오금로34길8-10,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-019",1,서울특별시 송파구 가락본동4-12,서울특별시 송파구 오금로34길8-16,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-020",1,서울특별시 송파구 가락본동4-10,서울특별시 송파구 오금로34길8-24,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-021",1,서울특별시 송파구 가락본동5-18,서울특별시 송파구 오금로34길8-3,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-022",1,서울특별시 송파구 가락본동6-5,서울특별시 송파구 양재대로68길3-6,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-023",1,서울특별시 송파구 가락본동6-1,서울특별시 송파구 오금로34길12-11,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
"가락본동-024",1,서울특별시 송파구 가락본동7-7,서울특별시 송파구 오금로34길11,,,,,02-2147-3331,서울특별시 송파구청,2020-02-25
