"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
01-002,1,,서울특별시 양천구 목1동 404-108,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-004,1,,서울특별시 양천구 목1동 404-28,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-005,1,,서울특별시 양천구 목1동 404-63,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-006,1,,서울특별시 양천구 목1동 404-66,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-009,1,,서울특별시 양천구 목1동 404-160,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-010,1,,서울특별시 양천구 목1동 404-160,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-012,2,,서울특별시 양천구 목1동 404-78건너,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-013,1,,서울특별시 양천구 목1동 404-81건너,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-014,1,,서울특별시 양천구 목1동 404-83건너(신목길53-1),,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-015,1,,서울특별시 양천구 목1동 404-84건너,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-017,1,,서울특별시 양천구 목1동 404-81건너,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-018,1,,서울특별시 양천구 목1동 404-94,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-019,1,,서울특별시 양천구 목1동 404-60(신목길71),,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-021,1,,서울특별시 양천구 목1동 404-130,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-022,1,,서울특별시 양천구 목1동 404-127,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-023,1,,서울특별시 양천구 목1동 404-119,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-024,1,,서울특별시 양천구 목1동 404-137 주차장,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-025,1,,서울특별시 양천구 목1동 404-134(신목길45-9),,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-026,1,,서울특별시 양천구 목1동 408-219,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-033,2,,서울특별시 양천구 목1동 947월드메르디앙@ 앞,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-034,2,,서울특별시 양천구 목1동 947월드메르디앙@ 앞,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-035,2,,서울특별시 양천구 목1동 947월드메르디앙@ 앞,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
01-036,2,,서울특별시 양천구 목1동 947월드메르디앙@ 앞,,,,,02-2620-3625,서울특별시 양천구청,2019-05-24
