"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"신길1동 - 2",1,서울특별시 영등포구 도신로 54길 4-10,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 3",1,서울특별시 영등포구 도신로 52길 5-2,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 9",1,서울특별시 영등포구 도신로 52길 9,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 10",1,서울특별시 영등포구 도신로 52길 11-12,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 11",1,서울특별시 영등포구 도신로 52길 11-3,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 12",1,서울특별시 영등포구 도신로 52길 11-6,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 19",1,서울특별시 영등포구 도신로 54길 12-24,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 20",1,서울특별시 영등포구 도신로 52길 21,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 21",1,서울특별시 영등포구 도신로 54길 12-29,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 22",1,서울특별시 영등포구 도신로 54길 12-31,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 24",1,서울특별시 영등포구 신길로 42가길 29,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 26",1,서울특별시 영등포구 신길로 42가길 37,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 28",1,서울특별시 영등포구 신길로 42가길 31,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 31",1,서울특별시 영등포구 도신로 56길 26-13,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 32",1,서울특별시 영등포구 신길로 42가길 26-4,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 41",1,서울특별시 영등포구 도신로 54길 19-2,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 42",1,서울특별시 영등포구 도신로 54길 19-3,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 46",1,서울특별시 영등포구 도신로 54길 15-10,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 49",1,서울특별시 영등포구 도신로 54길 15-6,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 66",1,서울특별시 영등포구 도신로 54길 11-4,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 70",1,서울특별시 영등포구 도신로 54길 9-10,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 74",1,서울특별시 영등포구 도신로 220-6,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 76",1,서울특별시 영등포구 도신로 54길 3-5,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 79",1,서울특별시 영등포구 도신로 218,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 80",1,서울특별시 영등포구 도신로 220-2,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 80-1",1,서울특별시 영등포구 도신로 220-2,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 86",1,서울특별시 영등포구 도신로 56길 9-9,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 98",1,서울특별시 영등포구 도신로 58길 14,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 102",1,서울특별시 영등포구 도신로 56가길 2,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 104",1,서울특별시 영등포구 도신로 56가길 6-2,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 121",1,서울특별시 영등포구 신길로 42가길 47-27,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 134",1,서울특별시 영등포구 도신로 56길 27,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 136",1,서울특별시 영등포구 도신로 56길 29,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 137",1,서울특별시 영등포구 도신로 56길 29-5,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 142",1,서울특별시 영등포구 도신로 60길 30,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 143",1,서울특별시 영등포구 도신로 60길 30,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 148",1,서울특별시 영등포구 신길로 42다길 3-3,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 149",1,서울특별시 영등포구 신길로 42다길 3-3,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 157",1,서울특별시 영등포구 가마산로 79길 43,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 158",1,서울특별시 영등포구 가마산로 79길 41-2,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 161",1,서울특별시 영등포구 가마산로 79가길 6-1,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 164",1,서울특별시 영등포구 가마산로 79가길 1-10,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 165",1,서울특별시 영등포구 가마산로 79가길 1-15,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 166",1,서울특별시 영등포구 가마산로 79가길 3-14,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 168",1,서울특별시 영등포구 가마산로 79가길 3-5,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 177",1,서울특별시 영등포구 도신로 56나길 11,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 182",1,서울특별시 영등포구 가마산로 79가길 5-20,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 185",1,서울특별시 영등포구 도신로 56나길 7-3,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 189",1,서울특별시 영등포구 도신로 56나길 2-11,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 192",1,서울특별시 영등포구 도신로 56나길 3-7,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 211",1,서울특별시 영등포구 신길로 42가길 40-2,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 218",1,서울특별시 영등포구 도신로 56길 44,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 220",1,서울특별시 영등포구 신길로 42가길 34,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 224",1,서울특별시 영등포구 도신로 48길 41-6,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 225",1,서울특별시 영등포구 신길로 42가길 34,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 226",1,서울특별시 영등포구 신길로 42가길 28-6,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 228",1,서울특별시 영등포구 신길로 42가길 36,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 241",1,서울특별시 영등포구 여의대방로 45길 17-4,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 242",1,서울특별시 영등포구 여의대방로 47가길 7-9,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 246",1,서울특별시 영등포구 여의대방로 47라길 9-2,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 252-1",1,서울특별시 영등포구 여의대방로 47길 25-1,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 254",1,서울특별시 영등포구 여의대방로 47가길 2,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 257",1,서울특별시 영등포구 여의대방로 47길 24-4,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 260",1,서울특별시 영등포구 영등포로 84길 40-6,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 263",1,서울특별시 영등포구 여의대방로 47다길 4,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 269",1,서울특별시 영등포구 여의대방로 47길 31-1,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 269-1",1,서울특별시 영등포구 여의대방로 43가길 20,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 271",1,서울특별시 영등포구 도신로 62길 39-7,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 277",1,서울특별시 영등포구 도신로 62길 20-11,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 278",1,서울특별시 영등포구 도신로 62길 26-1,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 282",1,서울특별시 영등포구 도신로 60길 17-18,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
"신길1동 - 293",1,서울특별시 영등포구 도신로 68길 18,,,,,전용주,02-2670-3838,서울특별시 영등포구,2019-04-30
