"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"녹번동 1",1,서울특별시 은평구 진흥로68-17,서울특별시 은평구 녹번동 162-17,37.6033160000,126.9219230000,,,02-351-7944,서울특별시 은평구청,2019-07-19
"녹번동 2",1,서울특별시 은평구 은평로353,서울특별시 은평구 녹번동 176-1,37.6027150000,126.9222710000,,,02-351-7944,서울특별시 은평구청,2019-07-19
"녹번동 3",1,서울특별시 은평구 은평로9길30,서울특별시 은평구 녹번동 176-28,37.6028029,126.9220100000,,,02-351-7944,서울특별시 은평구청,2019-07-19
"녹번동 4",1,서울특별시 은평구 은평로9길27,서울특별시 은평구 녹번동 177-2,37.6025750000,126.9216610000,,,02-351-7944,서울특별시 은평구청,2019-07-19
"녹번동 5",1,서울특별시 은평구 서오릉로6가길8,서울특별시 은평구 녹번동 152-9,37.6061860000,126.9248751,,,02-351-7944,서울특별시 은평구청,2019-07-19
"녹번동 6",1,서울특별시 은평구 은평로9길15,서울특별시 은평구 녹번동 177-15,37.6021030000,126.9212830000,,,02-351-7944,서울특별시 은평구청,2019-07-19
"녹번동 7",1,서울특별시 은평구 은평로9길20,서울특별시 은평구 녹번동 176-15,37.6019090000,126.9217390000,,,02-351-7944,서울특별시 은평구청,2019-07-19
"녹번동 8",1,서울특별시 은평구 은평로9길22-13,서울특별시 은평구 녹번동 176-9,37.6016940000,126.9218670000,,,02-351-7944,서울특별시 은평구청,2019-07-19
"녹번동 9",1,서울특별시 은평구 은평로9길22-12,서울특별시 은평구 녹번동 176-16,37.6018180000,126.9217180000,,,02-351-7944,서울특별시 은평구청,2019-07-19
"녹번동 10",1,서울특별시 은평구 은평로11길13-1,서울특별시 은평구 녹번동 160-24,37.6020390000,126.9232032,,,02-351-7944,서울특별시 은평구청,2019-07-19
"녹번동 11",1,서울특별시 은평구 은평로11길13-3,서울특별시 은평구 녹번동 160-21,37.6020560000,126.9230280000,,,02-351-7944,서울특별시 은평구청,2019-07-19
"녹번동 12",1,서울특별시 은평구 은평로11길21,서울특별시 은평구 녹번동 160-9,37.6026340000,126.9232350000,,,02-351-7944,서울특별시 은평구청,2019-07-19
