"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
01-옥인1길1,1,서울특별시 종로구 옥인1길 1,서울특별시 종로구 청운효자동 145-2,37.5805720000,126.9679700000,,한전주,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인1길1-가,1,서울특별시 종로구 옥인1길 1,서울특별시 종로구 청운효자동 146,37.5805710000,126.9679420000,,한전주,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인1길10,1,서울특별시 종로구 옥인1길 10,서울특별시 종로구 청운효자동 119-2,37.5809560000,126.9678150000,,전용주,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인1길11,1,서울특별시 종로구 옥인1길 11,서울특별시 종로구 청운효자동 145-2,,,,한전주,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인1길12-1,1,서울특별시 종로구 옥인1길 12-1,서울특별시 종로구 청운효자동 128-1,37.5810440000,126.9678630000,,건축물,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인1길17,1,서울특별시 종로구 옥인1길 17,서울특별시 종로구 청운효자동 60-9,,,,한전주,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인1길19-3,1,서울특별시 종로구 옥인1길 19-3,서울특별시 종로구 청운효자동 137-2,,,,건축물,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인1길2,1,서울특별시 종로구 옥인1길 2,서울특별시 종로구 청운효자동 145-2,,,,한전주,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인1길23,1,서울특별시 종로구 옥인1길 23,서울특별시 종로구 청운효자동 165-2,,,,한전주,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인1길24,1,서울특별시 종로구 옥인1길 24,서울특별시 종로구 청운효자동 160-1,37.5813930000,126.9671310000,,건축물,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인1길28,1,서울특별시 종로구 옥인1길 28,서울특별시 종로구 청운효자동 168-5,,,,건축물,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인1길31,1,서울특별시 종로구 옥인1길 31,서울특별시 종로구 청운효자동 160-1,37.5811820000,126.9668400000,,한전주,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인1길31-가,1,서울특별시 종로구 옥인1길 31,서울특별시 종로구 청운효자동 160-1,37.5811660000,126.9668370000,,한전주,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인1길34,1,서울특별시 종로구 옥인1길 34,서울특별시 종로구 청운효자동 168-2,,,,건축물,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인2길10,1,서울특별시 종로구 옥인2길 10,서울특별시 종로구 청운효자동 67-2,37.5805970000,126.9667980000,,건축물,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인2길15,1,서울특별시 종로구 옥인2길 15,서울특별시 종로구 청운효자동 85-1,37.5803260000,126.9668740000,,한전주,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인2길15-가,1,서울특별시 종로구 옥인2길 15,서울특별시 종로구 청운효자동 84,37.5803150000,126.9668820000,,한전주,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인2길17-4,1,서울특별시 종로구 옥인2길 17-4,서울특별시 종로구 청운효자동 83-4,,,,건축물,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인2길2,1,서울특별시 종로구 옥인2길 2,서울특별시 종로구 청운효자동 52,37.5809280000,126.9669130000,,건축물,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인2길6,1,서울특별시 종로구 옥인2길 6,서울특별시 종로구 청운효자동 31-7,,,,건축물,02-2148-3193,종로구청 도로과,2019-09-10
01-옥인3길10,1,서울특별시 종로구 옥인3길 10,서울특별시 종로구 청운효자동 31-7,37.5807090000,126.9662280000,,한전주,02-2148-3193,종로구청 도로과,2019-09-10
