"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
1-1-2,1,서울특별시 중구 세종대로18길 16,서울특별시 중구 북창동 35,37.5601906,127.004943,2015,전용주,3396-6153,서울특별시 중구청,2019-03-05
1-1-3,1,서울특별시 중구 세종대로18길 16,서울특별시 중구 북창동 35,37.5608265,127.0045961,2015,전용주,3396-6153,서울특별시 중구청,2019-03-05
1-1-7,1,서울특별시 중구 세종대로14길 17-5,서울특별시 중구 북창동 18-1,37.5603946,127.0050931,2010,건축물,3396-6153,서울특별시 중구청,2019-03-05
1-1-8,1,서울특별시 중구 세종대로14길 17,서울특별시 중구 북창동 18-12,37.5603930,127.0052233,2018,건축물,3396-6153,서울특별시 중구청,2019-03-05
1-1-9,1,서울특별시 중구 세종대로14길 17,서울특별시 중구 북창동 18-12,37.5609913,127.0050138,2018,건축물,3396-6153,서울특별시 중구청,2019-03-05
1-1-12,1,서울특별시 중구 남대문로5길 39,서울특별시 중구 소공동 160,37.5598643,127.0051363,2015,전용주,3396-6153,서울특별시 중구청,2019-03-05
1-1-13,1,서울특별시 중구 세종대로16길 27,서울특별시 중구 북창동 11-3,37.5601906,127.004943,2015,한전주,3396-6153,서울특별시 중구청,2019-03-05
1-1-14,1,서울특별시 중구 남대문로5길 49,서울특별시 중구 북창동 5-2,37.56002716,127.003409,2015,건축물,3396-6153,서울특별시 중구청,2019-03-05
1-1-15,1,서울특별시 중구 세종대로18길 24,서울특별시 중구 북창동 11-1,37.5601815,127.0031185,2015,건축물,3396-6153,서울특별시 중구청,2019-03-05
1-1-17,1,서울특별시 중구 세종대로18길 32,서울특별시 중구 소공동 112-4,37.5586888,127.0021945,2015,전용주,3396-6153,서울특별시 중구청,2019-03-05
1-1-18,1,서울특별시 중구 남대문로5길 39,서울특별시 중구 소공동 117,37.5585951,127.0018686,2015,전용주,3396-6153,서울특별시 중구청,2019-03-05
