"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"면목동",1,,서울특별시 중랑구 면목동 89-19,,,,한전주,02-2094-2731,서울특별시 중랑구청,2019-09-18
"면목동",1,,서울특별시 중랑구 면목동 89-74,,,,전용주,02-2094-2731,서울특별시 중랑구청,2019-09-18
"면목동",1,,서울특별시 중랑구 면목동 89-4,,,,건축물,02-2094-2731,서울특별시 중랑구청,2019-09-18
"면목동",1,,서울특별시 중랑구 면목동 89-16,,,,전용주,02-2094-2731,서울특별시 중랑구청,2019-09-18
"면목동",1,,서울특별시 중랑구 면목동 89-45,,,,한전주,02-2094-2731,서울특별시 중랑구청,2019-09-18
"면목동",1,,서울특별시 중랑구 면목동 89-49,,,,건축물,02-2094-2731,서울특별시 중랑구청,2019-09-18
"면목동",1,,서울특별시 중랑구 면목동 89-44,,,,한전주,02-2094-2731,서울특별시 중랑구청,2019-09-18
"면목동",1,,서울특별시 중랑구 면목동 89-52,,,,한전주,02-2094-2731,서울특별시 중랑구청,2019-09-18
"면목동",1,,서울특별시 중랑구 면목동 89-53,,,,한전주,02-2094-2731,서울특별시 중랑구청,2019-09-18
"면목동",1,,서울특별시 중랑구 면목동 89-57,,,,한전주,02-2094-2731,서울특별시 중랑구청,2019-09-18
"면목동",1,,서울특별시 중랑구 면목동 89-61,,,,건축물,02-2094-2731,서울특별시 중랑구청,2019-09-18
"면목동",1,,서울특별시 중랑구 면목동 88-75,,,,한전주,02-2094-2731,서울특별시 중랑구청,2019-09-18
"면목동",1,,서울특별시 중랑구 면목동 88-75,,,,한전주,02-2094-2731,서울특별시 중랑구청,2019-09-18
"면목동",1,,서울특별시 중랑구 면목동 88-78,,,,한전주,02-2094-2731,서울특별시 중랑구청,2019-09-18
"면목동",1,,서울특별시 중랑구 면목동 88-83,,,,한전주,02-2094-2731,서울특별시 중랑구청,2019-09-18
"면목동",1,,서울특별시 중랑구 면목동 88-84,,,,건축물,02-2094-2731,서울특별시 중랑구청,2019-09-18
"면목동",1,,서울특별시 중랑구 면목동 88-80,,,,한전주,02-2094-2731,서울특별시 중랑구청,2019-09-18
